"DATE","RIMP65Q4","RIMP66Q1","RIMP66Q2","RIMP66Q3","RIMP66Q4","RIMP67Q1","RIMP67Q2","RIMP67Q3","RIMP67Q4","RIMP68Q1","RIMP68Q2","RIMP68Q3","RIMP68Q4","RIMP69Q1","RIMP69Q2","RIMP69Q3","RIMP69Q4","RIMP70Q1","RIMP70Q2","RIMP70Q3","RIMP70Q4","RIMP71Q1","RIMP71Q2","RIMP71Q3","RIMP71Q4","RIMP72Q1","RIMP72Q2","RIMP72Q3","RIMP72Q4","RIMP73Q1","RIMP73Q2","RIMP73Q3","RIMP73Q4","RIMP74Q1","RIMP74Q2","RIMP74Q3","RIMP74Q4","RIMP75Q1","RIMP75Q2","RIMP75Q3","RIMP75Q4","RIMP76Q1","RIMP76Q2","RIMP76Q3","RIMP76Q4","RIMP77Q1","RIMP77Q2","RIMP77Q3","RIMP77Q4","RIMP78Q1","RIMP78Q2","RIMP78Q3","RIMP78Q4","RIMP79Q1","RIMP79Q2","RIMP79Q3","RIMP79Q4","RIMP80Q1","RIMP80Q2","RIMP80Q3","RIMP80Q4","RIMP81Q1","RIMP81Q2","RIMP81Q3","RIMP81Q4","RIMP82Q1","RIMP82Q2","RIMP82Q3","RIMP82Q4","RIMP83Q1","RIMP83Q2","RIMP83Q3","RIMP83Q4","RIMP84Q1","RIMP84Q2","RIMP84Q3","RIMP84Q4","RIMP85Q1","RIMP85Q2","RIMP85Q3","RIMP85Q4","RIMP86Q1","RIMP86Q2","RIMP86Q3","RIMP86Q4","RIMP87Q1","RIMP87Q2","RIMP87Q3","RIMP87Q4","RIMP88Q1","RIMP88Q2","RIMP88Q3","RIMP88Q4","RIMP89Q1","RIMP89Q2","RIMP89Q3","RIMP89Q4","RIMP90Q1","RIMP90Q2","RIMP90Q3","RIMP90Q4","RIMP91Q1","RIMP91Q2","RIMP91Q3","RIMP91Q4","RIMP92Q1","RIMP92Q2","RIMP92Q3","RIMP92Q4","RIMP93Q1","RIMP93Q2","RIMP93Q3","RIMP93Q4","RIMP94Q1","RIMP94Q2","RIMP94Q3","RIMP94Q4","RIMP95Q1","RIMP95Q2","RIMP95Q3","RIMP95Q4","RIMP96Q1","RIMP96Q2","RIMP96Q3","RIMP96Q4","RIMP97Q1","RIMP97Q2","RIMP97Q3","RIMP97Q4","RIMP98Q1","RIMP98Q2","RIMP98Q3","RIMP98Q4","RIMP99Q1","RIMP99Q2","RIMP99Q3","RIMP99Q4","RIMP00Q1","RIMP00Q2","RIMP00Q3","RIMP00Q4","RIMP01Q1","RIMP01Q2","RIMP01Q3","RIMP01Q4","RIMP02Q1","RIMP02Q2","RIMP02Q3","RIMP02Q4","RIMP03Q1","RIMP03Q2","RIMP03Q3","RIMP03Q4","RIMP04Q1","RIMP04Q2","RIMP04Q3","RIMP04Q4","RIMP05Q1","RIMP05Q2","RIMP05Q3","RIMP05Q4","RIMP06Q1","RIMP06Q2","RIMP06Q3","RIMP06Q4","RIMP07Q1","RIMP07Q2","RIMP07Q3","RIMP07Q4","RIMP08Q1","RIMP08Q2","RIMP08Q3","RIMP08Q4","RIMP09Q1","RIMP09Q2","RIMP09Q3","RIMP09Q4","RIMP10Q1","RIMP10Q2","RIMP10Q3","RIMP10Q4","RIMP11Q1","RIMP11Q2","RIMP11Q3","RIMP11Q4","RIMP12Q1","RIMP12Q2","RIMP12Q3","RIMP12Q4","RIMP13Q1","RIMP13Q2","RIMP13Q3","RIMP13Q4","RIMP14Q1","RIMP14Q2","RIMP14Q3","RIMP14Q4","RIMP15Q1","RIMP15Q2","RIMP15Q3","RIMP15Q4"
"1964:Q3","28.1","28.1","28.1","28.3","28.3","28.3","28.3","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","28.5","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.3","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","37.9","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","124.0","114.3","114.3","114.3","114.3","114.3","114.3","114.3","114.3","114.3","114.3","114.3","114.3","114.3","114.3","114.3","114.3","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.8","130.781","130.781","130.781","130.781","130.7","130.7","130.7","130.7","130.7","130.7","130.7","130.7","130.7","130.7","130.7","130.7","130.7","130.7","130.7","130.7","130.7","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","125.0","138.6","138.6","138.6","138.6","138.6","138.6","138.6","138.6","138.5","138.5","138.5","138.5","138.5","138.5","138.5","138.5","148.9","148.9","148.9","148.9","148.6","148.6","148.6","148.6","148.6","148.6"
"1964:Q4","29.0","29.0","29.0","29.0","29.0","29.0","29.0","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","29.3","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","38.4","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","39.0","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","127.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","134.2","134.2","134.2","134.2","134.2","134.2","134.2","134.2","134.2","134.2","134.2","134.186","134.186","134.186","134.186","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","134.3","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","128.4","142.4","142.4","142.4","142.4","142.4","142.4","142.4","142.4","142.3","142.3","142.3","142.3","142.3","142.3","142.3","142.3","152.9","152.9","152.9","152.9","152.6","152.6","152.6","152.6","152.6","152.6"
"1965:Q1","27.8","27.8","27.8","27.7","27.7","27.7","27.7","28.4","28.4","28.4","28.4","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","28.3","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.0","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","123.1","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","112.7","129.4","129.4","129.4","129.4","129.4","129.4","129.4","129.4","129.4","129.4","129.4","129.43","129.43","129.43","129.43","129.4","129.4","129.4","129.4","129.4","129.4","129.4","129.4","129.4","129.4","129.4","129.4","129.4","129.4","129.4","129.4","129.4","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","123.8","137.3","137.3","137.3","137.3","137.3","137.3","137.3","137.3","137.2","137.2","137.2","137.2","137.2","137.2","137.2","137.2","147.4","147.4","147.4","147.4","147.1","147.1","147.1","147.1","147.1","147.1"
"1965:Q2","32.0","31.9","31.9","31.6","31.6","31.6","31.6","32.1","32.1","32.1","32.1","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","42.4","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","136.3","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","125.9","144.7","144.7","144.7","144.7","144.7","144.7","144.7","144.7","144.7","144.7","144.7","144.729","144.729","144.729","144.729","144.7","144.7","144.7","144.7","144.7","144.7","144.7","144.7","144.7","144.7","144.7","144.7","144.7","144.7","144.7","144.7","144.7","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","138.4","153.5","153.5","153.5","153.5","153.5","153.5","153.5","153.5","153.3","153.3","153.3","153.3","153.3","153.3","153.3","153.3","164.8","164.8","164.8","164.8","164.5","164.5","164.5","164.5","164.5","164.5"
"1965:Q3","#N/A","32.1","32.1","31.9","31.9","31.9","31.9","32.1","32.1","32.1","32.1","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","31.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","41.8","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","42.5","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","137.0","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","126.8","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.311","145.311","145.311","145.311","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","145.3","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.1","154.0","154.0","154.0","154.0","154.0","154.0","154.0","154.0","165.5","165.5","165.5","165.5","165.2","165.2","165.2","165.2","165.2","165.2"
"1965:Q4","#N/A","33.4","32.9","32.8","32.8","32.8","32.8","33.3","33.3","33.3","33.3","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","32.9","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.3","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","43.9","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","142.5","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","132.4","152.5","152.5","152.5","152.5","152.5","152.5","152.5","152.5","152.5","152.5","152.5","152.456","152.456","152.456","152.456","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","152.4","145.8","145.8","145.8","145.8","145.8","145.8","145.8","145.8","145.8","145.8","145.8","145.8","145.8","145.8","145.8","145.8","145.8","145.8","145.8","145.8","145.8","145.8","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.6","161.5","161.5","161.5","161.5","161.5","161.5","161.5","161.5","173.6","173.6","173.6","173.6","173.2","173.2","173.2","173.2","173.2","173.2"
"1966:Q1","#N/A","#N/A","#N/A","34.2","34.2","34.2","34.2","34.9","34.9","34.9","34.9","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","34.5","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.2","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","45.8","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","146.3","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","136.5","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.322","156.322","156.322","156.322","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","156.3","149.5","149.5","149.5","149.5","149.5","149.5","149.5","149.5","149.5","149.5","149.5","149.5","149.5","149.5","149.5","149.5","149.5","149.5","149.5","149.5","149.5","149.5","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.8","165.7","165.7","165.7","165.7","165.7","165.7","165.7","165.7","178.1","178.1","178.1","178.1","177.7","177.7","177.7","177.7","177.7","177.7"
"1966:Q2","#N/A","#N/A","#N/A","#N/A","35.8","35.8","35.8","35.6","35.6","35.6","35.6","35.4","35.4","35.4","35.4","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","35.1","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.0","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","46.7","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","148.5","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","140.3","160.2","160.2","160.2","160.2","160.2","160.2","160.2","160.2","160.2","160.2","160.2","160.216","160.216","160.216","160.216","160.2","160.2","160.2","160.2","160.2","160.2","160.2","160.2","160.2","160.2","160.2","160.2","160.2","160.2","160.2","160.2","160.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","153.2","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.9","169.8","169.8","169.8","169.8","169.8","169.8","169.8","169.8","182.5","182.5","182.5","182.5","182.1","182.1","182.1","182.1","182.1","182.1"
"1966:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","37.6","37.6","37.3","37.3","37.3","37.3","36.8","36.8","36.8","36.8","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","37.1","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","48.9","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","49.5","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","155.9","148.3","148.3","148.3","148.3","148.3","148.3","148.3","148.3","148.3","148.3","148.3","148.3","148.3","148.3","148.3","148.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.3","169.287","169.287","169.287","169.287","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","169.2","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","161.8","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.4","179.3","179.3","179.3","179.3","179.3","179.3","179.3","179.3","192.7","192.7","192.7","192.7","192.3","192.3","192.3","192.3","192.3","192.3"
"1966:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","38.2","37.9","38.0","38.0","38.0","38.0","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","37.5","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.1","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","49.7","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","157.8","149.6","149.6","149.6","149.6","149.6","149.6","149.6","149.6","149.6","149.6","149.6","149.6","149.6","149.6","149.6","149.6","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.093","171.093","171.093","171.093","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","171.1","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","163.7","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.4","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","194.9","194.9","194.9","194.9","194.5","194.5","194.5","194.5","194.5","194.5"
"1967:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","38.3","38.3","38.3","38.3","38.5","38.5","38.5","38.5","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","37.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","49.8","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","159.5","151.6","151.6","151.6","151.6","151.6","151.6","151.6","151.6","151.6","151.6","151.6","151.6","151.6","151.6","151.6","151.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.6","173.622","173.622","173.622","173.622","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","173.5","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","166.1","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.3","184.2","184.2","184.2","184.2","184.2","184.2","184.2","184.2","197.9","197.9","197.9","197.9","197.5","197.5","197.5","197.5","197.5","197.5"
"1967:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","38.2","38.2","38.2","38.9","38.9","38.9","38.9","37.8","37.8","37.8","37.8","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","37.7","49.6","49.6","49.6","49.6","49.6","49.6","49.6","49.6","49.6","49.6","49.6","49.6","49.6","49.6","49.6","49.6","49.6","49.6","49.6","49.6","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","50.2","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","158.5","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","150.6","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.404","172.404","172.404","172.404","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","172.4","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","164.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.8","182.7","182.7","182.7","182.7","182.7","182.7","182.7","182.7","196.4","196.4","196.4","196.4","196.0","196.0","196.0","196.0","196.0","196.0"
"1967:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","38.6","38.6","39.1","39.1","39.1","39.1","38.1","38.1","38.1","38.1","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","38.0","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.3","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","156.2","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","174.8","174.8","174.8","174.8","174.8","174.8","174.8","174.8","174.8","174.8","174.8","174.786","174.786","174.786","174.786","174.7","174.7","174.7","174.7","174.7","174.7","174.7","174.7","174.7","174.7","174.7","174.7","174.7","174.7","174.7","174.7","174.7","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","167.1","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.2","185.1","185.1","185.1","185.1","185.1","185.1","185.1","185.1","199.0","199.0","199.0","199.0","198.5","198.5","198.5","198.5","198.5","198.5"
"1967:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","39.9","40.7","40.9","40.9","40.9","40.9","40.5","40.5","40.5","40.5","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","40.4","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.1","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","167.7","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","161.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","183.97","183.97","183.97","183.97","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","184.0","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","175.9","195.0","195.0","195.0","195.0","195.0","195.0","195.0","195.0","194.8","194.8","194.8","194.8","194.8","194.8","194.8","194.8","209.4","209.4","209.4","209.4","209.0","209.0","209.0","209.0","209.0","209.0"
