"DATE","OPH98M11","OPH98M12","OPH99M1","OPH99M2","OPH99M3","OPH99M4","OPH99M5","OPH99M6","OPH99M7","OPH99M8","OPH99M9","OPH99M10","OPH99M11","OPH99M12","OPH00M1","OPH00M2","OPH00M3","OPH00M4","OPH00M5","OPH00M6","OPH00M7","OPH00M8","OPH00M9","OPH00M10","OPH00M11","OPH00M12","OPH01M1","OPH01M2","OPH01M3","OPH01M4","OPH01M5","OPH01M6","OPH01M7","OPH01M8","OPH01M9","OPH01M10","OPH01M11","OPH01M12","OPH02M1","OPH02M2","OPH02M3","OPH02M4","OPH02M5","OPH02M6","OPH02M7","OPH02M8","OPH02M9","OPH02M10","OPH02M11","OPH02M12","OPH03M1","OPH03M2","OPH03M3","OPH03M4","OPH03M5","OPH03M6","OPH03M7","OPH03M8","OPH03M9","OPH03M10","OPH03M11","OPH03M12","OPH04M1","OPH04M2","OPH04M3","OPH04M4","OPH04M5","OPH04M6","OPH04M7","OPH04M8","OPH04M9","OPH04M10","OPH04M11","OPH04M12","OPH05M1","OPH05M2","OPH05M3","OPH05M4","OPH05M5","OPH05M6","OPH05M7","OPH05M8","OPH05M9","OPH05M10","OPH05M11","OPH05M12","OPH06M1","OPH06M2","OPH06M3","OPH06M4","OPH06M5","OPH06M6","OPH06M7","OPH06M8","OPH06M9","OPH06M10","OPH06M11","OPH06M12","OPH07M1","OPH07M2","OPH07M3","OPH07M4","OPH07M5","OPH07M6","OPH07M7","OPH07M8","OPH07M9","OPH07M10","OPH07M11","OPH07M12","OPH08M1","OPH08M2","OPH08M3","OPH08M4","OPH08M5","OPH08M6","OPH08M7","OPH08M8","OPH08M9","OPH08M10","OPH08M11","OPH08M12","OPH09M1","OPH09M2","OPH09M3","OPH09M4","OPH09M5","OPH09M6","OPH09M7","OPH09M8","OPH09M9","OPH09M10","OPH09M11","OPH09M12","OPH10M1","OPH10M2","OPH10M3","OPH10M4","OPH10M5","OPH10M6","OPH10M7","OPH10M8","OPH10M9","OPH10M10","OPH10M11","OPH10M12","OPH11M1","OPH11M2","OPH11M3","OPH11M4","OPH11M5","OPH11M6","OPH11M7","OPH11M8","OPH11M9","OPH11M10","OPH11M11","OPH11M12","OPH12M1","OPH12M2","OPH12M3","OPH12M4","OPH12M5","OPH12M6","OPH12M7","OPH12M8","OPH12M9","OPH12M10","OPH12M11","OPH12M12","OPH13M1","OPH13M2","OPH13M3","OPH13M4","OPH13M5","OPH13M6","OPH13M7","OPH13M8","OPH13M9","OPH13M10","OPH13M11","OPH13M12","OPH14M1","OPH14M2","OPH14M3","OPH14M4","OPH14M5","OPH14M6","OPH14M7","OPH14M8","OPH14M9","OPH14M10","OPH14M11","OPH14M12","OPH15M1","OPH15M2","OPH15M3","OPH15M4","OPH15M5","OPH15M6","OPH15M7","OPH15M8","OPH15M9","OPH15M10","OPH15M11"
"1963:Q1","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","53.2","53.2","53.2","53.2","53.2","53.2","53.9","53.9","53.9","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.8","54.8","54.8","54.8","54.8","54.8","53.8","53.8","53.8","53.8","53.8","53.8","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.1","54.0","54.0","54.0","54.0","54.0","54.0","54.042","54.042","54.042","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.053","54.054","54.054","54.054","54.054","54.054","54.054","54.054","54.054","54.054","54.054","54.054","54.054","54.054","54.054","54.054","54.054","54.054","54.272","54.272","54.272","54.272","54.272","54.272","54.272","54.272","54.272","54.272","54.272","54.272","39.619","39.619","39.619","39.619","39.619","39.619","39.619","39.619","39.619","39.619","39.619","39.619","39.639","39.639","39.639","39.639","39.639","39.639","39.639","39.639","39.639","39.639","39.639","39.639","39.639","39.639","39.639","39.639","39.639","39.639","39.639","39.649","39.649","39.649","39.649","39.649","35.892","35.892","35.892","36.128","36.128","36.128","36.128","36.168","36.168","36.168","36.168","36.168","36.21","36.21","36.21","36.21","36.21","36.21","36.21","36.21","36.21","36.21","36.21","36.21","36.21","36.21","36.21","36.21"
"1963:Q2","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","53.6","53.6","53.6","53.6","53.6","53.6","54.3","54.3","54.3","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","55.2","55.2","55.2","55.2","55.2","55.2","54.2","54.2","54.2","54.2","54.2","54.2","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.5","54.4","54.4","54.4","54.4","54.4","54.4","54.421","54.421","54.421","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.433","54.658","54.658","54.658","54.658","54.658","54.658","54.658","54.658","54.658","54.658","54.658","54.658","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.901","39.921","39.921","39.921","39.921","39.921","39.921","39.921","39.921","39.921","39.921","39.921","39.921","39.921","39.921","39.921","39.921","39.921","39.921","39.921","39.931","39.931","39.931","39.931","39.931","36.167","36.167","36.167","36.404","36.404","36.404","36.404","36.445","36.445","36.445","36.445","36.445","36.487","36.487","36.487","36.487","36.487","36.487","36.487","36.487","36.487","36.487","36.487","36.487","36.487","36.487","36.487","36.487"
"1963:Q3","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","54.8","54.8","54.8","54.8","54.8","54.8","55.4","55.4","55.4","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","56.4","56.4","56.4","56.4","56.4","56.4","55.3","55.3","55.3","55.3","55.3","55.3","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.6","55.57","55.57","55.57","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.581","55.582","55.582","55.582","55.582","55.582","55.582","55.582","55.582","55.582","55.582","55.582","55.582","55.582","55.582","55.582","55.582","55.582","55.815","55.815","55.815","55.815","55.815","55.815","55.815","55.815","55.815","55.815","55.815","55.815","40.745","40.745","40.745","40.745","40.745","40.745","40.745","40.745","40.745","40.745","40.745","40.745","40.767","40.767","40.767","40.767","40.767","40.767","40.767","40.767","40.767","40.767","40.767","40.767","40.767","40.767","40.767","40.767","40.767","40.767","40.767","40.777","40.777","40.777","40.777","40.777","36.965","36.965","36.965","37.208","37.208","37.208","37.208","37.249","37.249","37.249","37.249","37.249","37.293","37.293","37.293","37.293","37.293","37.293","37.293","37.293","37.293","37.293","37.293","37.293","37.293","37.293","37.293","37.293"
"1963:Q4","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","54.9","54.9","54.9","54.9","54.9","54.9","55.6","55.6","55.6","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","56.5","56.5","56.5","56.5","56.5","56.5","55.5","55.5","55.5","55.5","55.5","55.5","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.8","55.7","55.7","55.7","55.7","55.7","55.7","55.71","55.71","55.71","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.722","55.962","55.962","55.962","55.962","55.962","55.962","55.962","55.962","55.962","55.962","55.962","55.962","40.852","40.852","40.852","40.852","40.852","40.852","40.852","40.852","40.852","40.852","40.852","40.852","40.874","40.874","40.874","40.874","40.874","40.874","40.874","40.874","40.874","40.874","40.874","40.874","40.874","40.874","40.874","40.874","40.874","40.874","40.874","40.884","40.884","40.884","40.884","40.884","37.034","37.034","37.034","37.279","37.279","37.279","37.279","37.32","37.32","37.32","37.32","37.32","37.362","37.362","37.362","37.362","37.362","37.362","37.362","37.362","37.362","37.362","37.362","37.362","37.362","37.362","37.362","37.362"
"1964:Q1","60.3","60.3","60.3","60.3","60.3","60.3","60.3","60.3","60.3","60.3","60.3","60.3","56.4","56.4","56.4","56.4","56.4","56.4","57.1","57.1","57.1","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.3","57.3","57.3","57.3","57.3","57.3","56.2","56.2","56.2","56.2","56.2","56.2","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.5","56.485","56.485","56.485","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.497","56.734","56.734","56.734","56.734","56.734","56.734","56.734","56.734","56.734","56.734","56.734","56.734","41.416","41.416","41.416","41.416","41.416","41.416","41.416","41.416","41.416","41.416","41.416","41.416","41.439","41.439","41.439","41.439","41.439","41.439","41.439","41.439","41.439","41.439","41.439","41.439","41.439","41.439","41.439","41.439","41.439","41.439","41.439","41.45","41.45","41.45","41.45","41.45","37.511","37.511","37.511","37.76","37.76","37.76","37.76","37.802","37.802","37.802","37.802","37.802","37.845","37.845","37.845","37.845","37.845","37.845","37.845","37.844","37.844","37.844","37.844","37.844","37.844","37.844","37.844","37.844"
"1964:Q2","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","56.4","56.4","56.4","56.4","56.4","56.4","57.2","57.2","57.2","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.3","57.5","57.5","57.5","57.5","57.5","57.5","56.4","56.4","56.4","56.4","56.4","56.4","56.7","56.7","56.7","56.7","56.7","56.7","56.7","56.7","56.7","56.7","56.6","56.6","56.6","56.6","56.6","56.6","56.63","56.63","56.63","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.642","56.874","56.874","56.874","56.874","56.874","56.874","56.874","56.874","56.874","56.874","56.874","56.874","41.519","41.519","41.519","41.519","41.519","41.519","41.519","41.519","41.519","41.519","41.519","41.519","41.54","41.54","41.54","41.54","41.54","41.54","41.54","41.54","41.54","41.54","41.54","41.54","41.54","41.54","41.54","41.54","41.54","41.54","41.54","41.55","41.55","41.55","41.55","41.55","37.621","37.621","37.621","37.869","37.869","37.869","37.869","37.911","37.911","37.911","37.911","37.911","37.954","37.954","37.954","37.954","37.954","37.954","37.954","37.954","37.954","37.954","37.954","37.954","37.954","37.954","37.954","37.954"
"1964:Q3","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","57.0","57.0","57.0","57.0","57.0","57.0","57.8","57.8","57.8","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","58.0","58.0","58.0","58.0","58.0","58.0","56.9","56.9","56.9","56.9","56.9","56.9","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.2","57.19","57.19","57.19","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.201","57.202","57.202","57.202","57.202","57.202","57.202","57.202","57.202","57.202","57.202","57.202","57.202","57.202","57.202","57.202","57.202","57.202","57.406","57.406","57.406","57.406","57.406","57.406","57.406","57.406","57.406","57.406","57.406","57.406","41.907","41.907","41.907","41.907","41.907","41.907","41.907","41.907","41.907","41.907","41.907","41.907","41.928","41.928","41.928","41.928","41.928","41.928","41.928","41.928","41.928","41.928","41.928","41.928","41.928","41.928","41.928","41.928","41.928","41.928","41.928","41.939","41.939","41.939","41.939","41.939","37.967","37.967","37.967","38.217","38.217","38.217","38.217","38.259","38.259","38.259","38.259","38.259","38.303","38.303","38.303","38.303","38.303","38.303","38.303","38.303","38.303","38.303","38.303","38.303","38.303","38.303","38.303","38.303"
"1964:Q4","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","56.6","56.6","56.6","56.6","56.6","56.6","57.4","57.4","57.4","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.5","57.7","57.7","57.7","57.7","57.7","57.7","56.6","56.6","56.6","56.6","56.6","56.6","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.877","56.877","56.877","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","56.889","57.106","57.106","57.106","57.106","57.106","57.106","57.106","57.106","57.106","57.106","57.106","57.106","41.688","41.688","41.688","41.688","41.688","41.688","41.688","41.688","41.688","41.688","41.688","41.688","41.711","41.711","41.711","41.711","41.711","41.711","41.711","41.711","41.711","41.711","41.711","41.711","41.711","41.711","41.711","41.711","41.711","41.711","41.711","41.721","41.721","41.721","41.721","41.721","37.801","37.801","37.801","38.049","38.049","38.049","38.049","38.091","38.091","38.091","38.091","38.091","38.135","38.135","38.135","38.135","38.135","38.135","38.135","38.135","38.135","38.135","38.135","38.135","38.135","38.135","38.135","38.135"
"1965:Q1","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","57.6","57.6","57.6","57.6","57.6","57.6","58.4","58.4","58.4","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.6","58.7","58.7","58.7","58.7","58.7","58.7","57.6","57.6","57.6","57.6","57.6","57.6","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.8","57.8","57.8","57.8","57.8","57.8","57.824","57.824","57.824","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","57.836","58.086","58.086","58.086","58.086","58.086","58.086","58.086","58.086","58.086","58.086","58.086","58.086","42.403","42.403","42.403","42.403","42.403","42.403","42.403","42.403","42.403","42.403","42.403","42.403","42.426","42.426","42.426","42.426","42.426","42.426","42.426","42.426","42.426","42.426","42.426","42.426","42.426","42.426","42.426","42.426","42.426","42.426","42.426","42.436","42.436","42.436","42.436","42.436","38.466","38.466","38.466","38.719","38.719","38.719","38.719","38.762","38.762","38.762","38.762","38.762","38.806","38.806","38.806","38.806","38.806","38.806","38.806","38.806","38.806","38.806","38.806","38.806","38.806","38.806","38.806","38.806"
"1965:Q2","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","57.7","57.7","57.7","57.7","57.7","57.7","58.5","58.5","58.5","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.7","58.8","58.8","58.8","58.8","58.8","58.8","57.6","57.6","57.6","57.6","57.6","57.6","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.891","57.891","57.891","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","57.903","58.14","58.14","58.14","58.14","58.14","58.14","58.14","58.14","58.14","58.14","58.14","58.14","42.442","42.442","42.442","42.442","42.442","42.442","42.442","42.442","42.442","42.442","42.442","42.442","42.465","42.465","42.465","42.465","42.465","42.465","42.465","42.465","42.465","42.465","42.465","42.465","42.465","42.465","42.465","42.465","42.465","42.465","42.465","42.475","42.475","42.475","42.475","42.475","38.504","38.504","38.504","38.759","38.759","38.759","38.759","38.802","38.802","38.802","38.802","38.802","38.846","38.846","38.846","38.846","38.846","38.846","38.846","38.845","38.845","38.845","38.845","38.845","38.845","38.845","38.845","38.845"
"1965:Q3","63.1","63.1","63.1","63.2","63.2","63.2","63.2","63.2","63.2","63.2","63.2","63.2","59.1","59.1","59.1","59.1","59.1","59.1","59.9","59.9","59.9","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","59.0","59.0","59.0","59.0","59.0","59.0","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.256","59.256","59.256","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.269","59.505","59.505","59.505","59.505","59.505","59.505","59.505","59.505","59.505","59.505","59.505","59.505","43.439","43.439","43.439","43.439","43.439","43.439","43.439","43.439","43.439","43.439","43.439","43.439","43.461","43.461","43.461","43.461","43.461","43.461","43.461","43.461","43.461","43.461","43.461","43.461","43.461","43.461","43.461","43.461","43.461","43.461","43.461","43.472","43.472","43.472","43.472","43.472","39.412","39.412","39.412","39.671","39.671","39.671","39.671","39.715","39.715","39.715","39.715","39.715","39.761","39.761","39.761","39.761","39.761","39.761","39.761","39.761","39.761","39.761","39.761","39.761","39.761","39.761","39.761","39.761"
"1965:Q4","64.1","64.1","64.1","64.1","64.1","64.1","64.1","64.1","64.1","64.1","64.1","64.1","59.9","59.9","59.9","59.9","59.9","59.9","60.7","60.7","60.7","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","61.1","61.1","61.1","61.1","61.1","61.1","60.0","60.0","60.0","60.0","60.0","60.0","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.226","60.226","60.226","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.238","60.239","60.239","60.239","60.239","60.239","60.239","60.239","60.239","60.239","60.239","60.239","60.239","60.239","60.239","60.239","60.239","60.239","60.459","60.459","60.459","60.459","60.459","60.459","60.459","60.459","60.459","60.459","60.459","60.459","44.136","44.136","44.136","44.136","44.136","44.136","44.136","44.136","44.136","44.136","44.136","44.136","44.159","44.159","44.159","44.159","44.159","44.159","44.159","44.159","44.159","44.159","44.159","44.159","44.159","44.159","44.159","44.159","44.159","44.159","44.159","44.171","44.171","44.171","44.171","44.171","40.019","40.019","40.019","40.282","40.282","40.282","40.282","40.327","40.327","40.327","40.327","40.327","40.373","40.373","40.373","40.373","40.373","40.373","40.373","40.373","40.373","40.373","40.373","40.373","40.373","40.373","40.373","40.373"
"1966:Q1","65.2","65.2","65.2","65.2","65.2","65.2","65.2","65.2","65.2","65.2","65.2","65.2","61.0","61.0","61.0","61.0","61.0","61.0","61.8","61.8","61.8","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.2","62.2","62.2","62.2","62.2","62.2","61.0","61.0","61.0","61.0","61.0","61.0","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.3","61.277","61.277","61.277","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.289","61.29","61.29","61.29","61.29","61.29","61.29","61.29","61.29","61.29","61.29","61.29","61.29","61.29","61.29","61.29","61.29","61.29","61.547","61.547","61.547","61.547","61.547","61.547","61.547","61.547","61.547","61.547","61.547","61.547","44.93","44.93","44.93","44.93","44.93","44.93","44.93","44.93","44.93","44.93","44.93","44.93","44.954","44.954","44.954","44.954","44.954","44.954","44.954","44.954","44.954","44.954","44.954","44.954","44.954","44.954","44.954","44.954","44.954","44.954","44.954","44.965","44.965","44.965","44.965","44.965","40.747","40.747","40.747","41.016","41.016","41.016","41.016","41.061","41.061","41.061","41.061","41.061","41.107","41.107","41.107","41.107","41.107","41.107","41.107","41.107","41.107","41.107","41.107","41.107","41.107","41.107","41.107","41.107"
"1966:Q2","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","60.8","60.8","60.8","60.8","60.8","60.8","61.6","61.6","61.6","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","60.7","60.7","60.7","60.7","60.7","60.7","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.937","60.937","60.937","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","60.95","61.183","61.183","61.183","61.183","61.183","61.183","61.183","61.183","61.183","61.183","61.183","61.183","44.664","44.664","44.664","44.664","44.664","44.664","44.664","44.664","44.664","44.664","44.664","44.664","44.687","44.687","44.687","44.687","44.687","44.687","44.687","44.687","44.687","44.687","44.687","44.687","44.687","44.687","44.687","44.687","44.687","44.687","44.687","44.699","44.699","44.699","44.699","44.699","40.53","40.53","40.53","40.797","40.797","40.797","40.797","40.842","40.842","40.842","40.842","40.842","40.888","40.888","40.888","40.888","40.888","40.888","40.888","40.888","40.888","40.888","40.888","40.888","40.888","40.888","40.888","40.888"
"1966:Q3","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","60.8","60.8","60.8","60.8","60.8","60.8","61.6","61.6","61.6","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.9","61.9","61.9","61.9","61.9","61.9","60.7","60.7","60.7","60.7","60.7","60.7","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.021","61.021","61.021","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.034","61.279","61.279","61.279","61.279","61.279","61.279","61.279","61.279","61.279","61.279","61.279","61.279","44.734","44.734","44.734","44.734","44.734","44.734","44.734","44.734","44.734","44.734","44.734","44.734","44.756","44.756","44.756","44.756","44.756","44.756","44.756","44.756","44.756","44.756","44.756","44.756","44.756","44.756","44.756","44.756","44.756","44.756","44.756","44.767","44.767","44.767","44.767","44.767","40.603","40.603","40.603","40.871","40.871","40.871","40.871","40.916","40.916","40.916","40.916","40.916","40.962","40.962","40.962","40.962","40.962","40.962","40.962","40.962","40.962","40.962","40.962","40.962","40.962","40.962","40.962","40.962"
