"DATE","RNX65Q4","RNX66Q1","RNX66Q2","RNX66Q3","RNX66Q4","RNX67Q1","RNX67Q2","RNX67Q3","RNX67Q4","RNX68Q1","RNX68Q2","RNX68Q3","RNX68Q4","RNX69Q1","RNX69Q2","RNX69Q3","RNX69Q4","RNX70Q1","RNX70Q2","RNX70Q3","RNX70Q4","RNX71Q1","RNX71Q2","RNX71Q3","RNX71Q4","RNX72Q1","RNX72Q2","RNX72Q3","RNX72Q4","RNX73Q1","RNX73Q2","RNX73Q3","RNX73Q4","RNX74Q1","RNX74Q2","RNX74Q3","RNX74Q4","RNX75Q1","RNX75Q2","RNX75Q3","RNX75Q4","RNX76Q1","RNX76Q2","RNX76Q3","RNX76Q4","RNX77Q1","RNX77Q2","RNX77Q3","RNX77Q4","RNX78Q1","RNX78Q2","RNX78Q3","RNX78Q4","RNX79Q1","RNX79Q2","RNX79Q3","RNX79Q4","RNX80Q1","RNX80Q2","RNX80Q3","RNX80Q4","RNX81Q1","RNX81Q2","RNX81Q3","RNX81Q4","RNX82Q1","RNX82Q2","RNX82Q3","RNX82Q4","RNX83Q1","RNX83Q2","RNX83Q3","RNX83Q4","RNX84Q1","RNX84Q2","RNX84Q3","RNX84Q4","RNX85Q1","RNX85Q2","RNX85Q3","RNX85Q4","RNX86Q1","RNX86Q2","RNX86Q3","RNX86Q4","RNX87Q1","RNX87Q2","RNX87Q3","RNX87Q4","RNX88Q1","RNX88Q2","RNX88Q3","RNX88Q4","RNX89Q1","RNX89Q2","RNX89Q3","RNX89Q4","RNX90Q1","RNX90Q2","RNX90Q3","RNX90Q4","RNX91Q1","RNX91Q2","RNX91Q3","RNX91Q4","RNX92Q1","RNX92Q2","RNX92Q3","RNX92Q4","RNX93Q1","RNX93Q2","RNX93Q3","RNX93Q4","RNX94Q1","RNX94Q2","RNX94Q3","RNX94Q4","RNX95Q1","RNX95Q2","RNX95Q3","RNX95Q4","RNX96Q1","RNX96Q2","RNX96Q3","RNX96Q4","RNX97Q1","RNX97Q2","RNX97Q3","RNX97Q4","RNX98Q1","RNX98Q2","RNX98Q3","RNX98Q4","RNX99Q1","RNX99Q2","RNX99Q3","RNX99Q4","RNX00Q1","RNX00Q2","RNX00Q3","RNX00Q4","RNX01Q1","RNX01Q2","RNX01Q3","RNX01Q4","RNX02Q1","RNX02Q2","RNX02Q3","RNX02Q4","RNX03Q1","RNX03Q2","RNX03Q3","RNX03Q4","RNX04Q1","RNX04Q2","RNX04Q3","RNX04Q4","RNX05Q1","RNX05Q2","RNX05Q3","RNX05Q4","RNX06Q1","RNX06Q2","RNX06Q3","RNX06Q4","RNX07Q1","RNX07Q2","RNX07Q3","RNX07Q4","RNX08Q1","RNX08Q2","RNX08Q3","RNX08Q4","RNX09Q1","RNX09Q2","RNX09Q3","RNX09Q4","RNX10Q1","RNX10Q2","RNX10Q3","RNX10Q4","RNX11Q1","RNX11Q2","RNX11Q3","RNX11Q4","RNX12Q1","RNX12Q2","RNX12Q3","RNX12Q4","RNX13Q1","RNX13Q2","RNX13Q3","RNX13Q4","RNX14Q1","RNX14Q2","RNX14Q3","RNX14Q4","RNX15Q1","RNX15Q2"
"1963:Q3","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-2.6","-6.1","-6.1","-6.1","-6.1","-6.1","-6.1","-6.1","-6.1","-6.1","-6.1","-6.1","-6.1","-6.1","-6.1","-6.1","-6.1","-23.7","-23.7","-23.7","-23.7","-23.7","-23.7","-23.7","-23.7","-23.7","-23.7","-23.7","-23.7","-23.7","-23.7","-23.7","-23.7","-23.7","-22.9","-22.9","-22.9","-22.9","-22.9","-22.9","-22.9","-22.9","-22.9","-22.9","-22.9","-22.9","-22.9","-22.9","-22.9","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-22.6","-22.6","-22.6","-22.6","-22.6","-22.6","-22.6","-22.6","-22.6","-22.6","-22.6","-22.6","-22.6","-22.6","-22.6","-22.6","-25.5","-25.5","-25.5","-25.5","-24.8","-24.8","-24.8","-24.8"
"1963:Q4","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","11.3","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-1.6","-18.7","-18.7","-18.7","-18.7","-18.7","-18.7","-18.7","-18.7","-18.7","-18.7","-18.7","-18.7","-18.7","-18.7","-18.7","-18.7","-18.7","-17.9","-17.9","-17.9","-17.9","-17.9","-17.9","-17.9","-17.9","-17.9","-17.9","-17.9","-17.9","-17.9","-17.9","-17.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-12.9","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-19.2","-19.2","-19.2","-19.2","-18.5","-18.5","-18.5","-18.5"
"1964:Q1","9.0","9.0","9.0","9.2","9.2","9.2","9.2","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","9.1","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","11.9","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","14.0","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","9.7","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","4.6","-12.8","-12.8","-12.8","-12.8","-12.8","-12.8","-12.8","-12.8","-12.8","-12.8","-12.8","-12.8","-12.8","-12.8","-12.8","-12.8","-12.8","-11.9","-11.9","-11.9","-11.9","-11.9","-11.9","-11.9","-11.9","-11.9","-11.9","-11.9","-11.9","-11.9","-11.9","-11.9","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-6.3","-9.4","-9.4","-9.4","-9.4","-9.4","-9.4","-9.4","-9.4","-9.4","-9.4","-9.4","-9.4","-9.4","-9.4","-9.4","-9.4","-11.5","-11.5","-11.5","-11.5","-10.7","-10.7","-10.7","-10.7"
"1964:Q2","8.1","8.1","8.1","8.2","8.2","8.2","8.2","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","8.0","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","10.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","12.3","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1.1","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-16.5","-15.6","-15.6","-15.6","-15.6","-15.6","-15.6","-15.6","-15.6","-15.6","-15.6","-15.6","-15.6","-15.6","-15.6","-15.6","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-7.1","-10.3","-10.3","-10.3","-10.3","-10.3","-10.3","-10.3","-10.3","-10.3","-10.3","-10.3","-10.3","-10.3","-10.3","-10.3","-10.3","-12.5","-12.5","-12.5","-12.5","-11.7","-11.7","-11.7","-11.7"
"1964:Q3","8.7","8.7","8.7","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","8.4","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","10.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","12.8","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","5.6","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-16.6","-15.7","-15.7","-15.7","-15.7","-15.7","-15.7","-15.7","-15.7","-15.7","-15.7","-15.7","-15.7","-15.7","-15.7","-15.7","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-14.9","-14.9","-14.9","-14.9","-14.9","-14.9","-14.9","-14.9","-14.9","-14.9","-14.9","-14.9","-14.9","-14.9","-14.9","-14.9","-17.4","-17.4","-17.4","-17.4","-16.7","-16.7","-16.7","-16.7"
"1964:Q4","8.3","8.3","8.3","8.0","8.0","8.0","8.0","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","7.9","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","10.5","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","12.4","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","3.7","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","1.9","-17.6","-17.6","-17.6","-17.6","-17.6","-17.6","-17.6","-17.6","-17.6","-17.6","-17.6","-17.6","-17.6","-17.6","-17.6","-17.8","-17.8","-16.9","-16.9","-16.9","-16.9","-16.9","-16.9","-16.9","-16.9","-16.9","-16.9","-16.9","-16.9","-16.9","-16.9","-16.9","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-11.2","-15.0","-15.0","-15.0","-15.0","-15.0","-15.0","-15.0","-15.0","-15.0","-15.0","-15.0","-15.0","-15.0","-15.0","-15.0","-15.0","-17.5","-17.5","-17.5","-17.5","-16.7","-16.7","-16.7","-16.7"
"1965:Q1","6.0","5.1","5.1","5.7","5.7","5.7","5.7","5.2","5.2","5.2","5.2","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","5.4","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","7.2","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","9.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-3.0","-7.5","-7.5","-7.5","-7.5","-7.5","-7.5","-7.5","-7.5","-7.5","-7.5","-7.5","-7.5","-7.5","-7.5","-7.5","-7.5","-26.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-19.3","-23.7","-23.7","-23.7","-23.7","-23.7","-23.7","-23.7","-23.7","-23.6","-23.6","-23.6","-23.6","-23.6","-23.6","-23.6","-23.6","-26.6","-26.6","-26.6","-26.6","-25.9","-25.9","-25.9","-25.9"
"1965:Q2","6.7","6.6","6.6","7.1","7.1","7.1","7.1","6.8","6.8","6.8","6.8","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","7.0","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","9.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","11.2","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-0.4","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-26.0","-26.0","-26.0","-26.0","-26.0","-26.0","-26.0","-26.0","-26.0","-26.0","-26.0","-26.0","-26.0","-26.0","-26.0","-26.0","-26.0","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-14.2","-18.5","-18.5","-18.5","-18.5","-18.5","-18.5","-18.5","-18.5","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-18.4","-21.4","-21.4","-21.4","-21.4","-20.5","-20.5","-20.5","-20.5"
"1965:Q3","#N/A","6.2","6.2","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.4","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","6.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","8.7","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","10.6","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-4.3","-7.8","-7.8","-7.8","-7.8","-7.8","-7.8","-7.8","-7.8","-7.8","-7.8","-7.8","-7.8","-7.8","-7.8","-7.8","-7.8","-28.7","-28.7","-28.7","-28.7","-28.7","-28.7","-28.7","-28.7","-28.7","-28.7","-28.7","-28.7","-28.7","-28.7","-28.7","-28.7","-28.7","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-21.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.9","-26.8","-26.8","-26.8","-26.8","-26.8","-26.8","-26.8","-26.8","-30.3","-30.3","-30.3","-30.3","-29.5","-29.5","-29.5","-29.5"
"1965:Q4","#N/A","6.1","6.2","6.0","6.0","6.0","6.0","5.6","5.6","5.6","5.6","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","5.7","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","7.6","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","9.8","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-3.2","-5.3","-5.3","-5.3","-5.3","-5.3","-5.3","-5.3","-5.3","-5.3","-5.3","-5.3","-5.3","-5.3","-5.3","-5.3","-5.3","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.8","-27.7","-27.7","-26.8","-26.8","-26.8","-26.8","-26.8","-26.8","-26.8","-26.8","-26.8","-26.8","-26.8","-26.8","-26.8","-26.8","-26.8","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-20.3","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-25.1","-28.6","-28.6","-28.6","-28.6","-27.7","-27.7","-27.7","-27.7"
"1966:Q1","#N/A","#N/A","#N/A","5.9","5.9","5.9","5.9","5.4","5.4","5.4","5.4","5.3","5.3","5.3","5.3","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","5.5","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","6.1","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-7.9","-11.4","-11.4","-11.4","-11.4","-11.4","-11.4","-11.4","-11.4","-11.4","-11.4","-11.4","-11.4","-11.4","-11.4","-11.4","-11.4","-33.2","-33.2","-33.2","-33.2","-33.2","-33.2","-33.2","-33.2","-33.2","-33.2","-33.2","-33.2","-33.2","-33.2","-33.2","-33.3","-33.3","-32.3","-32.3","-32.3","-32.3","-32.3","-32.3","-32.3","-32.3","-32.3","-32.3","-32.3","-32.3","-32.3","-32.3","-32.3","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-26.2","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-31.7","-35.6","-35.6","-35.6","-35.6","-34.7","-34.7","-34.7","-34.7"
"1966:Q2","#N/A","#N/A","#N/A","#N/A","4.6","4.6","4.6","4.8","4.8","4.8","4.8","4.3","4.3","4.3","4.3","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","4.8","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","7.1","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-11.6","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-16.0","-38.0","-38.0","-38.0","-38.0","-38.0","-38.0","-38.0","-38.0","-38.0","-38.0","-38.0","-38.0","-38.0","-38.0","-38.0","-38.0","-38.0","-37.1","-37.1","-37.1","-37.1","-37.1","-37.1","-37.1","-37.1","-37.1","-37.1","-37.1","-37.1","-37.1","-37.1","-37.1","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-24.5","-30.0","-30.0","-30.0","-30.0","-30.0","-30.0","-30.0","-30.0","-30.0","-30.0","-30.0","-30.0","-30.0","-30.0","-30.0","-30.0","-33.8","-33.8","-33.8","-33.8","-32.9","-32.9","-32.9","-32.9"
"1966:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","4.2","4.2","4.1","4.1","4.1","4.1","3.6","3.6","3.6","3.6","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","5.1","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-18.2","-22.8","-22.8","-22.8","-22.8","-22.8","-22.8","-22.8","-22.8","-22.8","-22.8","-22.8","-22.8","-22.8","-22.8","-22.8","-22.8","-46.3","-46.3","-46.3","-46.3","-46.3","-46.3","-46.3","-46.3","-46.3","-46.3","-46.3","-46.3","-46.3","-46.3","-46.3","-46.2","-46.2","-45.3","-45.3","-45.3","-45.3","-45.3","-45.3","-45.3","-45.3","-45.3","-45.3","-45.3","-45.3","-45.3","-45.3","-45.3","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-37.9","-44.7","-44.7","-44.7","-44.7","-44.7","-44.7","-44.7","-44.7","-44.7","-44.7","-44.7","-44.7","-44.7","-44.7","-44.7","-44.7","-49.6","-49.6","-49.6","-49.6","-48.7","-48.7","-48.7","-48.7"
