"DATE","NOUTPUT65Q4","NOUTPUT66Q1","NOUTPUT66Q2","NOUTPUT66Q3","NOUTPUT66Q4","NOUTPUT67Q1","NOUTPUT67Q2","NOUTPUT67Q3","NOUTPUT67Q4","NOUTPUT68Q1","NOUTPUT68Q2","NOUTPUT68Q3","NOUTPUT68Q4","NOUTPUT69Q1","NOUTPUT69Q2","NOUTPUT69Q3","NOUTPUT69Q4","NOUTPUT70Q1","NOUTPUT70Q2","NOUTPUT70Q3","NOUTPUT70Q4","NOUTPUT71Q1","NOUTPUT71Q2","NOUTPUT71Q3","NOUTPUT71Q4","NOUTPUT72Q1","NOUTPUT72Q2","NOUTPUT72Q3","NOUTPUT72Q4","NOUTPUT73Q1","NOUTPUT73Q2","NOUTPUT73Q3","NOUTPUT73Q4","NOUTPUT74Q1","NOUTPUT74Q2","NOUTPUT74Q3","NOUTPUT74Q4","NOUTPUT75Q1","NOUTPUT75Q2","NOUTPUT75Q3","NOUTPUT75Q4","NOUTPUT76Q1","NOUTPUT76Q2","NOUTPUT76Q3","NOUTPUT76Q4","NOUTPUT77Q1","NOUTPUT77Q2","NOUTPUT77Q3","NOUTPUT77Q4","NOUTPUT78Q1","NOUTPUT78Q2","NOUTPUT78Q3","NOUTPUT78Q4","NOUTPUT79Q1","NOUTPUT79Q2","NOUTPUT79Q3","NOUTPUT79Q4","NOUTPUT80Q1","NOUTPUT80Q2","NOUTPUT80Q3","NOUTPUT80Q4","NOUTPUT81Q1","NOUTPUT81Q2","NOUTPUT81Q3","NOUTPUT81Q4","NOUTPUT82Q1","NOUTPUT82Q2","NOUTPUT82Q3","NOUTPUT82Q4","NOUTPUT83Q1","NOUTPUT83Q2","NOUTPUT83Q3","NOUTPUT83Q4","NOUTPUT84Q1","NOUTPUT84Q2","NOUTPUT84Q3","NOUTPUT84Q4","NOUTPUT85Q1","NOUTPUT85Q2","NOUTPUT85Q3","NOUTPUT85Q4","NOUTPUT86Q1","NOUTPUT86Q2","NOUTPUT86Q3","NOUTPUT86Q4","NOUTPUT87Q1","NOUTPUT87Q2","NOUTPUT87Q3","NOUTPUT87Q4","NOUTPUT88Q1","NOUTPUT88Q2","NOUTPUT88Q3","NOUTPUT88Q4","NOUTPUT89Q1","NOUTPUT89Q2","NOUTPUT89Q3","NOUTPUT89Q4","NOUTPUT90Q1","NOUTPUT90Q2","NOUTPUT90Q3","NOUTPUT90Q4","NOUTPUT91Q1","NOUTPUT91Q2","NOUTPUT91Q3","NOUTPUT91Q4","NOUTPUT92Q1","NOUTPUT92Q2","NOUTPUT92Q3","NOUTPUT92Q4","NOUTPUT93Q1","NOUTPUT93Q2","NOUTPUT93Q3","NOUTPUT93Q4","NOUTPUT94Q1","NOUTPUT94Q2","NOUTPUT94Q3","NOUTPUT94Q4","NOUTPUT95Q1","NOUTPUT95Q2","NOUTPUT95Q3","NOUTPUT95Q4","NOUTPUT96Q1","NOUTPUT96Q2","NOUTPUT96Q3","NOUTPUT96Q4","NOUTPUT97Q1","NOUTPUT97Q2","NOUTPUT97Q3","NOUTPUT97Q4","NOUTPUT98Q1","NOUTPUT98Q2","NOUTPUT98Q3","NOUTPUT98Q4","NOUTPUT99Q1","NOUTPUT99Q2","NOUTPUT99Q3","NOUTPUT99Q4","NOUTPUT00Q1","NOUTPUT00Q2","NOUTPUT00Q3","NOUTPUT00Q4","NOUTPUT01Q1","NOUTPUT01Q2","NOUTPUT01Q3","NOUTPUT01Q4","NOUTPUT02Q1","NOUTPUT02Q2","NOUTPUT02Q3","NOUTPUT02Q4","NOUTPUT03Q1","NOUTPUT03Q2","NOUTPUT03Q3","NOUTPUT03Q4","NOUTPUT04Q1","NOUTPUT04Q2","NOUTPUT04Q3","NOUTPUT04Q4","NOUTPUT05Q1","NOUTPUT05Q2","NOUTPUT05Q3","NOUTPUT05Q4","NOUTPUT06Q1","NOUTPUT06Q2","NOUTPUT06Q3","NOUTPUT06Q4","NOUTPUT07Q1","NOUTPUT07Q2","NOUTPUT07Q3","NOUTPUT07Q4","NOUTPUT08Q1","NOUTPUT08Q2","NOUTPUT08Q3","NOUTPUT08Q4","NOUTPUT09Q1","NOUTPUT09Q2","NOUTPUT09Q3","NOUTPUT09Q4","NOUTPUT10Q1","NOUTPUT10Q2","NOUTPUT10Q3","NOUTPUT10Q4","NOUTPUT11Q1","NOUTPUT11Q2","NOUTPUT11Q3","NOUTPUT11Q4","NOUTPUT12Q1","NOUTPUT12Q2","NOUTPUT12Q3","NOUTPUT12Q4","NOUTPUT13Q1","NOUTPUT13Q2","NOUTPUT13Q3","NOUTPUT13Q4","NOUTPUT14Q1","NOUTPUT14Q2","NOUTPUT14Q3","NOUTPUT14Q4","NOUTPUT15Q1","NOUTPUT15Q2"
"1958:Q2","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","438.3","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","439.9","440.7","440.7","440.7","440.7","440.7","440.7","440.7","440.7","440.7","440.7","440.7","440.7","440.7","440.7","440.7","440.7","440.7","440.7","440.7","440.7","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","447.9","#N/A","#N/A","#N/A","#N/A","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","445.8","#N/A","#N/A","#N/A","#N/A","#N/A","458.3","458.3","458.3","458.3","458.3","458.3","458.3","458.3","458.3","458.3","#N/A","#N/A","458.9","458.9","458.9","458.9","458.9","458.9","458.9","458.9","458.9","458.9","458.9","458.9","458.9","458.9","458.9","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.1","458.0","458.0","458.0","458.0","458.0","458.0","458.0","458.0","458.0","458.0","458.0","458.0","458.0","458.0","458.0","458.0","472.8","472.8","472.8","472.8","472.8","472.8","472.8","472.8"
"1958:Q3","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","451.4","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.1","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","453.9","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","461.0","#N/A","#N/A","#N/A","#N/A","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","459.1","#N/A","#N/A","#N/A","#N/A","#N/A","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","471.8","#N/A","#N/A","472.4","472.4","472.4","472.4","472.4","472.4","472.4","472.4","472.4","472.4","472.4","472.4","472.4","472.4","472.4","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","471.7","486.7","486.7","486.7","486.7","486.7","486.7","486.7","486.7"
"1958:Q4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","464.4","466.3","466.3","466.3","466.3","466.3","466.3","466.3","466.3","466.3","466.3","466.3","466.3","466.3","466.3","466.3","466.3","466.3","466.3","466.3","466.3","467.0","467.0","467.0","467.0","467.0","467.0","467.0","467.0","467.0","467.0","467.0","467.0","467.0","467.0","467.0","467.0","467.0","467.0","467.0","467.0","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","474.2","#N/A","#N/A","#N/A","#N/A","472.3","472.3","472.3","472.3","472.3","472.3","472.3","472.3","472.3","472.3","472.3","472.3","#N/A","#N/A","#N/A","#N/A","#N/A","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","485.2","#N/A","#N/A","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.8","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","485.0","500.4","500.4","500.4","500.4","500.4","500.4","500.4","500.4"
"1959:Q1","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","474.0","476.0","476.0","476.0","476.0","476.0","476.0","476.0","476.0","476.0","476.0","476.0","476.0","476.0","476.0","476.0","476.0","476.0","476.0","476.0","476.0","477.0","477.0","477.0","477.0","477.0","477.0","477.0","477.0","477.0","477.0","477.0","477.0","477.0","477.0","477.0","477.0","477.0","477.0","477.0","477.0","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","485.1","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","483.5","496.3","496.3","496.3","496.3","496.3","496.3","496.3","496.3","496.3","496.3","496.3","496.3","496.3","496.3","496.3","496.1","496.1","496.1","496.1","496.1","496.1","496.1","496.1","496.1","496.1","496.1","496.1","496.1","496.1","496.1","496.1","496.1","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.4","495.5","495.5","495.5","495.5","495.5","495.5","495.5","495.5","495.5","495.5","495.5","495.5","495.5","495.5","495.5","495.5","511.1","511.1","511.1","511.1","511.1","511.1","511.1","511.1"
"1959:Q2","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","486.9","489.9","489.9","489.9","489.9","489.9","489.9","489.9","489.9","489.9","489.9","489.9","489.9","489.9","489.9","489.9","489.9","489.9","489.9","489.9","489.9","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","490.6","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","497.8","496.2","496.2","496.2","496.2","496.2","496.2","496.2","496.2","496.2","496.2","496.2","496.2","496.2","496.2","496.2","496.2","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.2","509.2","509.2","509.2","509.2","509.2","509.2","509.2","509.2","509.2","509.2","509.2","509.2","509.2","509.2","509.2","509.2","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.4","508.5","508.5","508.5","508.5","508.5","508.5","508.5","508.5","508.5","508.5","508.5","508.5","508.5","508.5","508.5","508.5","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2"
"1959:Q3","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","484.0","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","486.5","489.0","489.0","489.0","489.0","489.0","489.0","489.0","489.0","489.0","489.0","489.0","489.0","489.0","489.0","489.0","489.0","489.0","489.0","489.0","489.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","498.0","496.4","496.4","496.4","496.4","496.4","496.4","496.4","496.4","496.4","496.4","496.4","496.4","496.4","496.4","496.4","496.4","509.6","509.6","509.6","509.6","509.6","509.6","509.6","509.6","509.6","509.6","509.6","509.6","509.6","509.6","509.6","510.2","510.2","510.2","510.2","510.2","510.2","510.2","510.2","510.2","510.2","510.2","510.2","510.2","510.2","510.2","510.2","510.2","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","509.3","525.2","525.2","525.2","525.2","525.2","525.2","525.2","525.2"
"1959:Q4","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","490.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","493.5","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","502.4","500.5","500.5","500.5","500.5","500.5","500.5","500.5","500.5","500.5","500.5","500.5","500.5","500.5","500.5","500.5","500.5","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","513.8","514.2","514.2","514.2","514.2","514.2","514.2","514.2","514.2","514.2","514.2","514.2","514.2","514.2","514.2","514.2","514.2","514.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","513.2","529.3","529.3","529.3","529.3","529.3","529.3","529.3","529.3"
"1960:Q1","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","503.0","506.6","506.6","506.6","506.6","506.6","506.6","506.6","506.6","506.6","506.6","506.6","506.6","506.6","506.6","506.6","506.6","506.6","506.6","506.6","506.6","506.9","506.9","506.9","506.9","506.9","506.9","506.9","506.9","506.9","506.9","506.9","506.9","506.9","506.9","506.9","506.9","506.9","506.9","506.9","506.9","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","516.1","514.0","514.0","514.0","514.0","514.0","514.0","514.0","514.0","514.0","514.0","514.0","514.0","514.0","514.0","514.0","514.0","527.3","527.3","527.3","527.3","527.3","527.3","527.3","527.3","527.3","527.3","527.3","527.3","527.3","527.3","527.3","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","526.9","527.0","527.0","527.0","527.0","527.0","527.0","527.0","527.0","527.0","527.0","527.0","527.0","527.0","527.0","527.0","527.0","543.3","543.3","543.3","543.3","543.3","543.3","543.3","543.3"
"1960:Q2","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","504.7","506.5","506.5","506.5","506.5","506.5","506.5","506.5","506.5","506.5","506.5","506.5","506.5","506.5","506.5","506.5","506.5","506.5","506.5","506.5","506.5","506.3","506.3","506.3","506.3","506.3","506.3","506.3","506.3","506.3","506.3","506.3","506.3","506.3","506.3","506.3","506.3","506.3","506.3","506.3","506.3","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","514.5","512.9","512.9","512.9","512.9","512.9","512.9","512.9","512.9","512.9","512.9","512.9","512.9","512.9","512.9","512.9","512.9","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","527.1","527.1","527.1","527.1","527.1","527.1","527.1","527.1","527.1","527.1","527.1","527.1","527.1","527.1","527.1","527.1","527.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.1","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","526.2","542.7","542.7","542.7","542.7","542.7","542.7","542.7","542.7"
"1960:Q3","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","504.2","506.2","506.2","506.2","506.2","506.2","506.2","506.2","506.2","506.2","506.2","506.2","506.2","506.2","506.2","506.2","506.2","506.2","506.2","506.2","506.2","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","508.0","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","517.7","515.8","515.8","515.8","515.8","515.8","515.8","515.8","515.8","515.8","515.8","515.8","515.8","515.8","515.8","515.8","515.8","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","529.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","529.0","546.0","546.0","546.0","546.0","546.0","546.0","546.0","546.0"
"1960:Q4","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","503.3","504.6","504.6","504.6","504.6","504.6","504.6","504.6","504.6","504.6","504.6","504.6","504.6","504.6","504.6","504.6","504.6","504.6","504.6","504.6","504.6","504.8","504.8","504.8","504.8","504.8","504.8","504.8","504.8","504.8","504.8","504.8","504.8","504.8","504.8","504.8","504.8","504.8","504.8","504.8","504.8","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.0","510.8","510.8","510.8","510.8","510.8","510.8","510.8","510.8","510.8","510.8","510.8","510.8","510.8","510.8","510.8","510.8","523.9","523.9","523.9","523.9","523.9","523.9","523.9","523.9","523.9","523.9","523.9","523.9","523.9","523.9","523.9","524.6","524.6","524.6","524.6","524.6","524.6","524.6","524.6","524.6","524.6","524.6","524.6","524.6","524.6","524.6","524.6","524.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.6","523.7","523.7","523.7","523.7","523.7","523.7","523.7","523.7","523.7","523.7","523.7","523.7","523.7","523.7","523.7","523.7","541.1","541.1","541.1","541.1","541.1","541.1","541.1","541.1"
"1961:Q1","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","503.6","507.1","507.1","507.1","507.1","507.1","507.1","507.1","507.1","507.1","507.1","507.1","507.1","507.1","507.1","507.1","507.1","507.1","507.1","507.1","507.1","508.2","508.2","508.2","508.2","508.2","508.2","508.2","508.2","508.2","508.2","508.2","508.2","508.2","508.2","508.2","508.2","508.2","508.2","508.2","508.2","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","517.4","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","515.1","528.1","528.1","528.1","528.1","528.1","528.1","528.1","528.1","528.1","528.1","528.1","528.1","528.1","528.1","528.1","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","528.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","528.0","528.0","528.0","528.0","528.0","528.0","528.0","528.0","528.0","528.0","528.0","528.0","528.0","528.0","528.0","528.0","545.9","545.9","545.9","545.9","545.9","545.9","545.9","545.9"
"1961:Q2","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","514.9","518.2","518.2","518.2","518.2","518.2","518.2","518.2","518.2","518.2","518.2","518.2","518.2","518.2","518.2","518.2","518.2","518.2","518.2","518.2","518.2","519.2","519.2","519.2","519.2","519.2","519.2","519.2","519.2","519.2","519.2","519.2","519.2","519.2","519.2","519.2","519.2","519.2","519.2","519.2","519.2","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","527.9","525.9","525.9","525.9","525.9","525.9","525.9","525.9","525.9","525.9","525.9","525.9","525.9","525.9","525.9","525.9","525.9","538.9","538.9","538.9","538.9","538.9","538.9","538.9","538.9","538.9","538.9","538.9","538.9","538.9","538.9","538.9","539.9","539.9","539.9","539.9","539.9","539.9","539.9","539.9","539.9","539.9","539.9","539.9","539.9","539.9","539.9","539.9","539.9","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","539.0","557.4","557.4","557.4","557.4","557.4","557.4","557.4","557.4"
"1961:Q3","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","524.2","527.2","527.2","527.2","527.2","527.2","527.2","527.2","527.2","527.2","527.2","527.2","527.2","527.2","527.2","527.2","527.2","527.2","527.2","527.2","527.2","528.2","528.2","528.2","528.2","528.2","528.2","528.2","528.2","528.2","528.2","528.2","528.2","528.2","528.2","528.2","528.2","528.2","528.2","528.2","528.2","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","538.5","536.6","536.6","536.6","536.6","536.6","536.6","536.6","536.6","536.6","536.6","536.6","536.6","536.6","536.6","536.6","536.6","549.6","549.6","549.6","549.6","549.6","549.6","549.6","549.6","549.6","549.6","549.6","549.6","549.6","549.6","549.6","550.3","550.3","550.3","550.3","550.3","550.3","550.3","550.3","550.3","550.3","550.3","550.3","550.3","550.3","550.3","550.3","550.3","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.4","549.5","549.5","549.5","549.5","549.5","549.5","549.5","549.5","549.5","549.5","549.5","549.5","549.5","549.5","549.5","549.5","568.2","568.2","568.2","568.2","568.2","568.2","568.2","568.2"
