"DATE","PROPI65Q4","PROPI66Q1","PROPI66Q2","PROPI66Q3","PROPI66Q4","PROPI67Q1","PROPI67Q2","PROPI67Q3","PROPI67Q4","PROPI68Q1","PROPI68Q2","PROPI68Q3","PROPI68Q4","PROPI69Q1","PROPI69Q2","PROPI69Q3","PROPI69Q4","PROPI70Q1","PROPI70Q2","PROPI70Q3","PROPI70Q4","PROPI71Q1","PROPI71Q2","PROPI71Q3","PROPI71Q4","PROPI72Q1","PROPI72Q2","PROPI72Q3","PROPI72Q4","PROPI73Q1","PROPI73Q2","PROPI73Q3","PROPI73Q4","PROPI74Q1","PROPI74Q2","PROPI74Q3","PROPI74Q4","PROPI75Q1","PROPI75Q2","PROPI75Q3","PROPI75Q4","PROPI76Q1","PROPI76Q2","PROPI76Q3","PROPI76Q4","PROPI77Q1","PROPI77Q2","PROPI77Q3","PROPI77Q4","PROPI78Q1","PROPI78Q2","PROPI78Q3","PROPI78Q4","PROPI79Q1","PROPI79Q2","PROPI79Q3","PROPI79Q4","PROPI80Q1","PROPI80Q2","PROPI80Q3","PROPI80Q4","PROPI81Q1","PROPI81Q2","PROPI81Q3","PROPI81Q4","PROPI82Q1","PROPI82Q2","PROPI82Q3","PROPI82Q4","PROPI83Q1","PROPI83Q2","PROPI83Q3","PROPI83Q4","PROPI84Q1","PROPI84Q2","PROPI84Q3","PROPI84Q4","PROPI85Q1","PROPI85Q2","PROPI85Q3","PROPI85Q4","PROPI86Q1","PROPI86Q2","PROPI86Q3","PROPI86Q4","PROPI87Q1","PROPI87Q2","PROPI87Q3","PROPI87Q4","PROPI88Q1","PROPI88Q2","PROPI88Q3","PROPI88Q4","PROPI89Q1","PROPI89Q2","PROPI89Q3","PROPI89Q4","PROPI90Q1","PROPI90Q2","PROPI90Q3","PROPI90Q4","PROPI91Q1","PROPI91Q2","PROPI91Q3","PROPI91Q4","PROPI92Q1","PROPI92Q2","PROPI92Q3","PROPI92Q4","PROPI93Q1","PROPI93Q2","PROPI93Q3","PROPI93Q4","PROPI94Q1","PROPI94Q2","PROPI94Q3","PROPI94Q4","PROPI95Q1","PROPI95Q2","PROPI95Q3","PROPI95Q4","PROPI96Q1","PROPI96Q2","PROPI96Q3","PROPI96Q4","PROPI97Q1","PROPI97Q2","PROPI97Q3","PROPI97Q4","PROPI98Q1","PROPI98Q2","PROPI98Q3","PROPI98Q4","PROPI99Q1","PROPI99Q2","PROPI99Q3","PROPI99Q4","PROPI00Q1","PROPI00Q2","PROPI00Q3","PROPI00Q4","PROPI01Q1","PROPI01Q2","PROPI01Q3","PROPI01Q4","PROPI02Q1","PROPI02Q2","PROPI02Q3","PROPI02Q4","PROPI03Q1","PROPI03Q2","PROPI03Q3","PROPI03Q4","PROPI04Q1","PROPI04Q2","PROPI04Q3","PROPI04Q4","PROPI05Q1","PROPI05Q2","PROPI05Q3","PROPI05Q4","PROPI06Q1","PROPI06Q2","PROPI06Q3","PROPI06Q4","PROPI07Q1","PROPI07Q2","PROPI07Q3","PROPI07Q4","PROPI08Q1","PROPI08Q2","PROPI08Q3","PROPI08Q4","PROPI09Q1","PROPI09Q2","PROPI09Q3","PROPI09Q4","PROPI10Q1","PROPI10Q2","PROPI10Q3","PROPI10Q4","PROPI11Q1","PROPI11Q2","PROPI11Q3","PROPI11Q4","PROPI12Q1","PROPI12Q2","PROPI12Q3","PROPI12Q4","PROPI13Q1","PROPI13Q2","PROPI13Q3","PROPI13Q4","PROPI14Q1","PROPI14Q2","PROPI14Q3","PROPI14Q4","PROPI15Q1","PROPI15Q2"
"1963:Q4","51.0","51.0","51.0","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","51.4","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","50.9","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","59.1","57.7","57.7","57.7","57.7","57.7","59.2","59.2","59.2","59.2","59.2","59.2","59.2","59.2","59.2","59.2","#N/A","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.2","59.2","59.2","59.3","59.3","59.3","59.3","59.3","59.3","57.7","57.7","57.7","57.7","57.7","57.7","57.7","57.7","57.7","57.7","57.7","57.7","57.7","57.7","57.7","57.7","57.7","57.7","57.7","57.7","57.7","57.7","#N/A","57.8","57.8","57.8","57.8","57.8","57.8","57.8","57.8","57.8","57.8","57.8","57.8","57.8","57.8","57.8","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6"
"1964:Q1","50.4","50.4","50.4","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.0","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","51.2","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","58.9","59.2","59.2","59.2","59.2","59.2","59.2","59.2","59.2","59.2","59.2","59.2","59.2","59.2","59.2","59.2","59.2","57.7","57.7","57.7","57.7","57.7","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","#N/A","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","#N/A","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","57.9","57.9","57.9","57.9","57.9","57.9","57.9","57.9"
"1964:Q2","51.0","51.0","51.0","52.2","52.2","52.2","52.2","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.1","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","52.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","59.8","58.3","58.3","58.3","58.3","58.3","59.9","59.9","59.8","59.8","59.8","59.8","59.9","59.9","59.9","59.9","#N/A","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","#N/A","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","59.0","58.8","58.8","58.8","58.8","58.8","58.8","58.8","58.8"
"1964:Q3","51.4","51.4","51.4","51.9","51.9","51.9","51.9","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.6","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.7","52.9","52.9","52.9","52.9","52.9","52.9","52.9","52.9","52.9","52.9","52.9","52.9","52.9","52.9","52.9","52.9","52.9","52.9","52.9","52.9","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","60.7","60.7","60.7","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","59.4","59.4","59.4","59.4","59.4","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","#N/A","61.0","61.0","61.0","61.0","61.0","61.0","61.0","60.9","60.9","60.9","61.0","61.0","61.0","61.0","61.0","61.0","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","#N/A","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3"
"1964:Q4","51.8","51.8","51.8","52.2","52.2","52.2","52.2","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.3","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.2","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","53.5","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","60.8","60.8","60.8","60.8","60.8","62.3","62.3","62.4","62.4","62.4","62.4","62.3","62.3","62.3","62.3","#N/A","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","#N/A","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.7","60.5","60.5","60.5","60.5","60.5","60.5","60.5","60.5"
"1965:Q1","51.9","51.9","51.9","53.3","53.3","53.3","53.3","55.0","55.0","55.0","55.0","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.8","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.7","54.7","54.7","54.7","54.7","54.7","54.7","54.7","54.7","54.7","54.7","54.7","54.7","54.7","54.7","54.7","54.7","54.7","54.7","54.7","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","62.9","61.3","61.3","61.3","61.3","61.3","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","#N/A","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","#N/A","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","62.2","61.9","61.9","61.9","61.9","61.9","61.9","61.9","61.9"
"1965:Q2","54.6","54.6","54.6","55.9","55.9","55.9","55.9","56.7","56.7","56.7","56.7","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.9","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","56.6","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","57.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","65.0","64.3","64.3","64.3","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","62.7","62.7","62.7","62.7","62.7","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","64.4","#N/A","64.5","64.5","64.5","64.5","64.5","64.5","64.5","64.5","64.5","64.5","64.5","64.5","64.5","64.5","64.5","64.5","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","#N/A","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.4","63.2","63.2","63.2","63.2","63.2","63.2","63.2","63.2"
"1965:Q3","54.6","55.4","55.4","56.7","56.7","56.7","56.7","57.2","57.2","57.2","57.2","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","58.0","57.4","57.4","57.4","57.4","57.4","57.4","57.4","57.4","57.4","57.4","57.4","57.4","57.4","57.4","57.4","57.4","57.4","57.4","57.4","57.4","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.7","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","65.4","63.8","63.8","63.8","63.8","63.8","65.5","65.5","65.5","65.5","65.5","65.5","65.5","65.5","65.5","65.5","#N/A","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","#N/A","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.2","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0"
"1965:Q4","#N/A","56.2","56.2","57.1","57.1","57.1","57.1","57.8","57.8","57.8","57.8","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","59.3","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.2","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","58.5","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","66.9","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","65.9","65.9","65.9","65.9","65.9","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","#N/A","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","#N/A","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.9","65.6","65.6","65.6","65.6","65.6","65.6","65.6","65.6"
"1966:Q1","#N/A","#N/A","56.9","58.4","58.4","58.4","58.4","60.0","60.0","60.0","60.0","61.5","61.5","61.5","61.5","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","62.1","61.4","61.4","61.4","61.4","61.4","61.4","61.4","61.4","61.4","61.4","61.4","61.4","61.4","61.4","61.4","61.4","61.4","61.4","61.4","61.4","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","61.7","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","70.3","68.7","68.7","68.7","68.7","68.7","70.4","70.4","70.4","70.4","70.4","70.4","70.4","70.4","70.4","70.4","#N/A","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","70.6","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","#N/A","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.2","69.2","69.2","69.2","69.2","69.2","69.2","69.2"
"1966:Q2","#N/A","#N/A","#N/A","57.9","57.9","57.9","57.9","59.3","59.3","59.3","59.3","60.8","60.8","60.8","60.8","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","61.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","60.4","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","69.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","66.6","66.6","66.6","66.6","66.6","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","#N/A","68.6","68.6","68.6","68.6","68.6","68.6","68.6","68.6","68.6","68.6","68.6","68.6","68.6","68.6","68.6","68.6","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","67.4","#N/A","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.5","67.2","67.2","67.2","67.2","67.2","67.2","67.2","67.2"
"1966:Q3","#N/A","#N/A","#N/A","#N/A","57.3","57.3","57.3","59.2","59.2","59.2","59.2","60.2","60.2","60.2","60.2","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","61.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.1","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","60.2","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","69.4","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","67.2","67.2","67.2","67.2","67.2","68.9","68.9","69.0","69.0","69.0","69.0","68.9","68.9","68.9","68.9","#N/A","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","67.6","#N/A","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.7","67.2","67.2","67.2","67.2","67.2","67.2","67.2","67.2"
"1966:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","57.5","57.5","58.6","58.6","58.6","58.6","60.2","60.2","60.2","60.2","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.6","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.8","69.8","69.8","69.9","69.9","69.9","69.9","69.9","69.9","69.9","69.9","69.9","69.9","69.9","69.9","69.9","68.1","68.1","68.1","68.1","68.1","69.9","69.9","69.9","69.9","69.9","69.9","69.9","69.9","69.9","69.9","#N/A","70.0","70.0","70.0","70.0","70.0","70.0","70.0","70.1","70.1","70.1","70.0","70.0","70.0","70.0","70.0","70.0","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","68.3","#N/A","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.1","68.1","68.1","68.1","68.1","68.1","68.1","68.1"
"1967:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","57.4","57.8","57.8","57.8","57.8","60.1","60.1","60.1","60.1","60.8","60.8","60.8","60.8","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","60.9","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.7","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","59.9","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.8","69.7","69.7","69.7","69.7","69.7","69.7","69.7","69.7","69.7","69.7","69.7","69.7","69.7","69.7","69.7","69.7","68.0","68.0","68.0","68.0","68.0","70.4","70.4","70.4","70.4","70.4","70.4","70.4","70.4","70.4","70.4","#N/A","70.5","70.5","70.5","70.5","70.5","70.5","70.5","70.6","70.6","70.6","70.5","70.5","70.5","70.5","70.5","70.5","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","#N/A","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","69.1","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9"
"1967:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","57.7","57.8","57.8","57.8","60.5","60.5","60.5","60.5","61.7","61.7","61.7","61.7","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","62.0","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","70.7","69.8","69.8","69.8","69.7","69.7","69.7","69.7","69.7","69.7","69.7","69.7","69.7","69.7","69.7","69.7","69.7","67.9","67.9","67.9","67.9","67.9","70.0","70.0","70.0","70.0","70.0","70.0","70.0","70.0","70.0","70.0","#N/A","70.2","70.2","70.2","70.2","70.2","70.2","70.2","70.2","70.2","70.2","70.2","70.2","70.2","70.2","70.2","70.2","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","#N/A","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.5","68.5","68.5","68.5","68.5","68.5","68.5","68.5"
