"","BASEBASA65M11","BASEBASA66M2","BASEBASA66M5","BASEBASA66M8","BASEBASA66M11","BASEBASA67M2","BASEBASA67M5","BASEBASA67M8","BASEBASA67M11","BASEBASA68M2","BASEBASA68M5","BASEBASA68M8","BASEBASA68M11","BASEBASA69M2","BASEBASA69M5","BASEBASA69M8","BASEBASA69M11","BASEBASA70M2","BASEBASA70M5","BASEBASA70M8","BASEBASA70M11","BASEBASA71M2","BASEBASA71M5","BASEBASA71M8","BASEBASA71M11","BASEBASA72M2","BASEBASA72M5","BASEBASA72M8","BASEBASA72M11","BASEBASA73M2","BASEBASA73M5","BASEBASA73M8","BASEBASA73M11","BASEBASA74M2","BASEBASA74M5","BASEBASA74M8","BASEBASA74M11","BASEBASA75M2","BASEBASA75M5","BASEBASA75M8","BASEBASA75M11","BASEBASA76M2","BASEBASA76M5","BASEBASA76M8","BASEBASA76M11","BASEBASA77M2","BASEBASA77M5","BASEBASA77M8","BASEBASA77M11","BASEBASA78M2","BASEBASA78M5","BASEBASA78M8","BASEBASA78M11","BASEBASA79M2","BASEBASA79M5","BASEBASA79M8","BASEBASA79M11","BASEBASA80M2","BASEBASA80M5","BASEBASA80M8","BASEBASA80M11","BASEBASA81M2","BASEBASA81M5","BASEBASA81M8","BASEBASA81M11","BASEBASA82M2","BASEBASA82M5","BASEBASA82M8","BASEBASA82M11","BASEBASA83M2","BASEBASA83M5","BASEBASA83M8","BASEBASA83M11","BASEBASA84M2","BASEBASA84M5","BASEBASA84M8","BASEBASA84M11","BASEBASA85M2","BASEBASA85M5","BASEBASA85M8","BASEBASA85M11","BASEBASA86M2","BASEBASA86M5","BASEBASA86M8","BASEBASA86M11","BASEBASA87M2","BASEBASA87M5","BASEBASA87M8","BASEBASA87M11","BASEBASA88M2","BASEBASA88M5","BASEBASA88M8","BASEBASA88M11","BASEBASA89M2","BASEBASA89M5","BASEBASA89M8","BASEBASA89M11","BASEBASA90M2","BASEBASA90M5","BASEBASA90M8","BASEBASA90M11","BASEBASA91M2","BASEBASA91M5","BASEBASA91M8","BASEBASA91M11","BASEBASA92M2","BASEBASA92M5","BASEBASA92M8","BASEBASA92M11","BASEBASA93M2","BASEBASA93M5","BASEBASA93M8","BASEBASA93M11","BASEBASA94M2","BASEBASA94M5","BASEBASA94M8","BASEBASA94M11","BASEBASA95M2","BASEBASA95M5","BASEBASA95M8","BASEBASA95M11","BASEBASA96M2","BASEBASA96M5","BASEBASA96M8","BASEBASA96M11","BASEBASA97M2","BASEBASA97M5","BASEBASA97M8","BASEBASA97M11","BASEBASA98M2","BASEBASA98M5","BASEBASA98M8","BASEBASA98M11","BASEBASA99M2","BASEBASA99M5","BASEBASA99M8","BASEBASA99M11","BASEBASA00M2","BASEBASA00M5","BASEBASA00M8","BASEBASA00M11","BASEBASA01M2","BASEBASA01M5","BASEBASA01M8","BASEBASA01M11","BASEBASA02M2","BASEBASA02M5","BASEBASA02M8","BASEBASA02M11","BASEBASA03M2","BASEBASA03M5","BASEBASA03M8","BASEBASA03M11","BASEBASA04M2","BASEBASA04M5","BASEBASA04M8","BASEBASA04M11","BASEBASA05M2","BASEBASA05M5","BASEBASA05M8","BASEBASA05M11","BASEBASA06M2","BASEBASA06M5","BASEBASA06M8","BASEBASA06M11","BASEBASA07M2","BASEBASA07M5","BASEBASA07M8","BASEBASA07M11","BASEBASA08M2","BASEBASA08M5","BASEBASA08M8","BASEBASA08M11","BASEBASA09M2","BASEBASA09M5","BASEBASA09M8","BASEBASA09M11","BASEBASA10M2","BASEBASA10M5","BASEBASA10M8","BASEBASA10M11","BASEBASA11M2","BASEBASA11M5","BASEBASA11M8","BASEBASA11M11","BASEBASA12M2","BASEBASA12M5","BASEBASA12M8","BASEBASA12M11","BASEBASA13M2","BASEBASA13M5"
"1948:04","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1948:05","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1948:06","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1948:07","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1948:08","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1948:09","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1948:10","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1948:11","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1948:12","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1949:01","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
"1949:02","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42"
