"DATE","PTAX65Q4","PTAX66Q1","PTAX66Q2","PTAX66Q3","PTAX66Q4","PTAX67Q1","PTAX67Q2","PTAX67Q3","PTAX67Q4","PTAX68Q1","PTAX68Q2","PTAX68Q3","PTAX68Q4","PTAX69Q1","PTAX69Q2","PTAX69Q3","PTAX69Q4","PTAX70Q1","PTAX70Q2","PTAX70Q3","PTAX70Q4","PTAX71Q1","PTAX71Q2","PTAX71Q3","PTAX71Q4","PTAX72Q1","PTAX72Q2","PTAX72Q3","PTAX72Q4","PTAX73Q1","PTAX73Q2","PTAX73Q3","PTAX73Q4","PTAX74Q1","PTAX74Q2","PTAX74Q3","PTAX74Q4","PTAX75Q1","PTAX75Q2","PTAX75Q3","PTAX75Q4","PTAX76Q1","PTAX76Q2","PTAX76Q3","PTAX76Q4","PTAX77Q1","PTAX77Q2","PTAX77Q3","PTAX77Q4","PTAX78Q1","PTAX78Q2","PTAX78Q3","PTAX78Q4","PTAX79Q1","PTAX79Q2","PTAX79Q3","PTAX79Q4","PTAX80Q1","PTAX80Q2","PTAX80Q3","PTAX80Q4","PTAX81Q1","PTAX81Q2","PTAX81Q3","PTAX81Q4","PTAX82Q1","PTAX82Q2","PTAX82Q3","PTAX82Q4","PTAX83Q1","PTAX83Q2","PTAX83Q3","PTAX83Q4","PTAX84Q1","PTAX84Q2","PTAX84Q3","PTAX84Q4","PTAX85Q1","PTAX85Q2","PTAX85Q3","PTAX85Q4","PTAX86Q1","PTAX86Q2","PTAX86Q3","PTAX86Q4","PTAX87Q1","PTAX87Q2","PTAX87Q3","PTAX87Q4","PTAX88Q1","PTAX88Q2","PTAX88Q3","PTAX88Q4","PTAX89Q1","PTAX89Q2","PTAX89Q3","PTAX89Q4","PTAX90Q1","PTAX90Q2","PTAX90Q3","PTAX90Q4","PTAX91Q1","PTAX91Q2","PTAX91Q3","PTAX91Q4","PTAX92Q1","PTAX92Q2","PTAX92Q3","PTAX92Q4","PTAX93Q1","PTAX93Q2","PTAX93Q3","PTAX93Q4","PTAX94Q1","PTAX94Q2","PTAX94Q3","PTAX94Q4","PTAX95Q1","PTAX95Q2","PTAX95Q3","PTAX95Q4","PTAX96Q1","PTAX96Q2","PTAX96Q3","PTAX96Q4","PTAX97Q1","PTAX97Q2","PTAX97Q3","PTAX97Q4","PTAX98Q1","PTAX98Q2","PTAX98Q3","PTAX98Q4","PTAX99Q1","PTAX99Q2","PTAX99Q3","PTAX99Q4","PTAX00Q1","PTAX00Q2","PTAX00Q3","PTAX00Q4","PTAX01Q1","PTAX01Q2","PTAX01Q3","PTAX01Q4","PTAX02Q1","PTAX02Q2","PTAX02Q3","PTAX02Q4","PTAX03Q1","PTAX03Q2","PTAX03Q3","PTAX03Q4","PTAX04Q1","PTAX04Q2","PTAX04Q3","PTAX04Q4","PTAX05Q1","PTAX05Q2","PTAX05Q3","PTAX05Q4","PTAX06Q1","PTAX06Q2","PTAX06Q3","PTAX06Q4","PTAX07Q1","PTAX07Q2","PTAX07Q3","PTAX07Q4","PTAX08Q1","PTAX08Q2","PTAX08Q3","PTAX08Q4","PTAX09Q1","PTAX09Q2","PTAX09Q3","PTAX09Q4","PTAX10Q1","PTAX10Q2","PTAX10Q3","PTAX10Q4","PTAX11Q1","PTAX11Q2","PTAX11Q3","PTAX11Q4","PTAX12Q1","PTAX12Q2","PTAX12Q3","PTAX12Q4","PTAX13Q1","PTAX13Q2","PTAX13Q3","PTAX13Q4","PTAX14Q1","PTAX14Q2","PTAX14Q3","PTAX14Q4","PTAX15Q1","PTAX15Q2","PTAX15Q3","PTAX15Q4"
"1967:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","81.2","80.2","80.2","80.2","80.2","80.5","80.5","80.5","80.5","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","80.4","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","#N/A","72.3","72.3","72.3","72.3","72.3","72.3","72.3","72.3","72.3","72.3","72.3","72.3","72.3","72.3","72.3","72.3","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","#N/A","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2","71.2"
"1967:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","78.6","79.1","79.1","79.1","80.1","80.1","80.1","80.1","80.6","80.6","80.6","80.6","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","79.9","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","80.2","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","#N/A","72.1","72.1","72.1","72.1","72.1","72.1","72.1","72.1","72.1","72.1","72.1","72.1","72.1","72.1","72.1","72.1","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","#N/A","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9","70.9"
"1967:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","82.8","82.8","82.8","83.6","83.6","83.6","83.6","84.1","84.1","84.1","84.1","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","84.0","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.2","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","83.6","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","78.9","#N/A","75.1","75.1","75.1","75.1","75.1","75.1","75.1","75.1","75.1","75.1","75.1","75.1","75.1","75.1","75.1","75.1","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","#N/A","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8","73.8"
"1967:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","84.6","84.7","85.6","85.6","85.6","85.6","86.1","86.1","86.1","86.1","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","86.3","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.1","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","85.5","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","80.8","#N/A","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","#N/A","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9"
"1968:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","87.1","88.3","88.3","88.3","88.3","89.3","89.3","89.3","89.3","89.1","89.1","89.1","89.1","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","89.0","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","87.9","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","88.4","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","83.3","#N/A","79.8","79.8","79.8","79.8","79.8","79.8","79.8","79.8","79.8","79.8","79.8","79.8","79.8","79.8","79.8","79.8","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","#N/A","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6","78.6"
"1968:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","91.6","91.9","91.9","91.9","92.7","92.7","92.7","92.7","92.6","92.6","92.6","92.6","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","92.9","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","92.2","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","86.7","#N/A","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","82.9","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","#N/A","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7","81.7"
"1968:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","101.4","101.6","101.6","102.6","102.6","102.6","102.6","102.1","102.1","102.1","102.1","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","102.8","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","#N/A","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","93.1","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","#N/A","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9","91.9"
"1968:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","105.7","105.8","107.0","107.0","107.0","107.0","106.5","106.5","106.5","106.5","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.6","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","106.8","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","107.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","#N/A","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","#N/A","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9"
"1969:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","112.8","113.7","114.2","114.2","114.2","113.8","113.8","113.8","113.8","113.6","113.6","113.6","113.6","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.2","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","113.5","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","114.0","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","107.9","#N/A","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","#N/A","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6"
"1969:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","117.7","118.5","118.5","118.5","118.1","118.1","118.1","118.1","117.2","117.2","117.2","117.2","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.7","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","116.9","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","117.5","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","111.2","#N/A","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","#N/A","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7","105.7"
"1969:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","117.4","117.5","117.5","117.5","117.5","117.5","117.5","116.1","116.1","116.1","116.1","116.4","116.4","116.4","116.4","116.4","116.4","116.4","116.4","116.4","116.4","116.4","116.4","116.4","116.4","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.1","115.4","115.4","115.4","115.4","115.4","115.4","115.4","115.4","115.4","115.4","115.4","115.4","115.4","115.4","115.4","115.4","115.4","115.4","115.4","115.4","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","115.9","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","109.5","#N/A","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","#N/A","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1","104.1"
"1969:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","119.8","119.9","119.9","119.9","119.9","119.9","117.8","117.8","117.8","117.8","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","118.2","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","116.6","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.2","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","117.7","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","111.0","#N/A","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","107.1","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","#N/A","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6"
"1970:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","118.6","117.0","117.0","117.0","117.0","116.7","116.7","116.7","116.7","117.8","117.8","117.8","117.8","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","116.3","116.3","116.3","116.3","116.3","116.3","116.3","116.3","116.3","116.3","116.3","116.3","116.3","116.3","116.3","116.3","116.3","116.3","116.3","116.3","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","116.8","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","117.3","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","110.4","#N/A","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","106.0","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","#N/A","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6","104.6"
"1970:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","117.5","117.7","117.7","117.7","118.0","118.0","118.0","118.0","119.0","119.0","119.0","119.0","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","118.7","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","117.6","118.0","118.0","118.0","118.0","118.0","118.0","118.0","118.0","118.0","118.0","118.0","118.0","118.0","118.0","118.0","118.0","118.0","118.0","118.0","118.0","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","118.5","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","111.4","#N/A","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","107.0","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","#N/A","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5","105.5"
