"DATE","PIMP65Q4","PIMP66Q1","PIMP66Q2","PIMP66Q3","PIMP66Q4","PIMP67Q1","PIMP67Q2","PIMP67Q3","PIMP67Q4","PIMP68Q1","PIMP68Q2","PIMP68Q3","PIMP68Q4","PIMP69Q1","PIMP69Q2","PIMP69Q3","PIMP69Q4","PIMP70Q1","PIMP70Q2","PIMP70Q3","PIMP70Q4","PIMP71Q1","PIMP71Q2","PIMP71Q3","PIMP71Q4","PIMP72Q1","PIMP72Q2","PIMP72Q3","PIMP72Q4","PIMP73Q1","PIMP73Q2","PIMP73Q3","PIMP73Q4","PIMP74Q1","PIMP74Q2","PIMP74Q3","PIMP74Q4","PIMP75Q1","PIMP75Q2","PIMP75Q3","PIMP75Q4","PIMP76Q1","PIMP76Q2","PIMP76Q3","PIMP76Q4","PIMP77Q1","PIMP77Q2","PIMP77Q3","PIMP77Q4","PIMP78Q1","PIMP78Q2","PIMP78Q3","PIMP78Q4","PIMP79Q1","PIMP79Q2","PIMP79Q3","PIMP79Q4","PIMP80Q1","PIMP80Q2","PIMP80Q3","PIMP80Q4","PIMP81Q1","PIMP81Q2","PIMP81Q3","PIMP81Q4","PIMP82Q1","PIMP82Q2","PIMP82Q3","PIMP82Q4","PIMP83Q1","PIMP83Q2","PIMP83Q3","PIMP83Q4","PIMP84Q1","PIMP84Q2","PIMP84Q3","PIMP84Q4","PIMP85Q1","PIMP85Q2","PIMP85Q3","PIMP85Q4","PIMP86Q1","PIMP86Q2","PIMP86Q3","PIMP86Q4","PIMP87Q1","PIMP87Q2","PIMP87Q3","PIMP87Q4","PIMP88Q1","PIMP88Q2","PIMP88Q3","PIMP88Q4","PIMP89Q1","PIMP89Q2","PIMP89Q3","PIMP89Q4","PIMP90Q1","PIMP90Q2","PIMP90Q3","PIMP90Q4","PIMP91Q1","PIMP91Q2","PIMP91Q3","PIMP91Q4","PIMP92Q1","PIMP92Q2","PIMP92Q3","PIMP92Q4","PIMP93Q1","PIMP93Q2","PIMP93Q3","PIMP93Q4","PIMP94Q1","PIMP94Q2","PIMP94Q3","PIMP94Q4","PIMP95Q1","PIMP95Q2","PIMP95Q3","PIMP95Q4","PIMP96Q1","PIMP96Q2","PIMP96Q3","PIMP96Q4","PIMP97Q1","PIMP97Q2","PIMP97Q3","PIMP97Q4","PIMP98Q1","PIMP98Q2","PIMP98Q3","PIMP98Q4","PIMP99Q1","PIMP99Q2","PIMP99Q3","PIMP99Q4","PIMP00Q1","PIMP00Q2","PIMP00Q3","PIMP00Q4","PIMP01Q1","PIMP01Q2","PIMP01Q3","PIMP01Q4","PIMP02Q1","PIMP02Q2","PIMP02Q3","PIMP02Q4","PIMP03Q1","PIMP03Q2","PIMP03Q3","PIMP03Q4","PIMP04Q1","PIMP04Q2","PIMP04Q3","PIMP04Q4","PIMP05Q1","PIMP05Q2","PIMP05Q3","PIMP05Q4","PIMP06Q1","PIMP06Q2","PIMP06Q3","PIMP06Q4","PIMP07Q1","PIMP07Q2","PIMP07Q3","PIMP07Q4","PIMP08Q1","PIMP08Q2","PIMP08Q3","PIMP08Q4","PIMP09Q1","PIMP09Q2","PIMP09Q3","PIMP09Q4","PIMP10Q1","PIMP10Q2","PIMP10Q3","PIMP10Q4","PIMP11Q1","PIMP11Q2","PIMP11Q3","PIMP11Q4","PIMP12Q1","PIMP12Q2","PIMP12Q3","PIMP12Q4","PIMP13Q1","PIMP13Q2","PIMP13Q3","PIMP13Q4","PIMP14Q1","PIMP14Q2","PIMP14Q3","PIMP14Q4","PIMP15Q1","PIMP15Q2","PIMP15Q3","PIMP15Q4"
"1963:Q1","99.5","99.5","99.5","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.6","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","74.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","23.2","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","21.1","21.1","21.1","21.1","21.1","21.14","21.14","21.14","21.139","21.139","21.139","21.139","21.139","21.139","21.139","21.14","21.14","21.14","21.14","21.14","21.14","21.14","21.14","21.14","21.14","21.14","21.14","21.14","21.14","21.14","21.14","21.14","22.105","22.105","22.105","22.105","22.105","22.105","22.105","22.105","22.105","22.105","22.105","22.105","22.105","22.105","22.105","22.105","22.105","22.105","22.105","22.105","22.105","22.105","19.936","19.936","19.936","19.936","19.936","19.936","19.936","19.936","19.95","19.95","19.95","19.95","19.95","19.95","19.95","19.95","18.56","18.56","18.56","18.56","18.779","18.779","18.779","18.779","18.779","18.779"
"1963:Q2","99.3","99.3","99.3","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","74.9","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","23.4","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","21.2","21.2","21.2","21.2","21.2","21.23","21.23","21.23","21.229","21.229","21.229","21.229","21.229","21.229","21.229","21.23","21.23","21.23","21.23","21.23","21.23","21.23","21.23","21.23","21.23","21.23","21.23","21.23","21.23","21.23","21.23","21.23","22.201","22.201","22.201","22.201","22.201","22.201","22.201","22.201","22.201","22.201","22.201","22.201","22.201","22.201","22.201","22.201","22.201","22.201","22.201","22.201","22.201","22.201","20.023","20.023","20.023","20.023","20.023","20.023","20.023","20.023","20.037","20.037","20.037","20.037","20.037","20.037","20.037","20.037","18.641","18.641","18.641","18.641","18.861","18.861","18.861","18.861","18.861","18.861"
"1963:Q3","99.6","99.6","99.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","75.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","23.7","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","21.4","21.4","21.4","21.4","21.4","21.35","21.35","21.35","21.353","21.353","21.353","21.353","21.353","21.353","21.353","21.36","21.36","21.36","21.36","21.36","21.36","21.36","21.36","21.36","21.36","21.36","21.36","21.36","21.36","21.36","21.36","21.36","22.332","22.332","22.332","22.332","22.332","22.332","22.332","22.332","22.332","22.332","22.332","22.332","22.332","22.332","22.332","22.332","22.332","22.332","22.332","22.332","22.332","22.332","20.141","20.141","20.141","20.141","20.141","20.141","20.141","20.141","20.155","20.155","20.155","20.155","20.155","20.155","20.155","20.155","18.751","18.751","18.751","18.751","18.973","18.973","18.973","18.973","18.973","18.973"
"1963:Q4","99.9","99.9","99.9","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.3","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","23.9","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","21.5","21.5","21.5","21.5","21.5","21.48","21.48","21.48","21.475","21.475","21.475","21.475","21.475","21.475","21.475","21.48","21.48","21.48","21.48","21.48","21.48","21.48","21.48","21.48","21.48","21.48","21.48","21.48","21.48","21.48","21.48","21.48","22.456","22.456","22.456","22.456","22.456","22.456","22.456","22.456","22.456","22.456","22.456","22.456","22.456","22.456","22.456","22.456","22.456","22.456","22.456","22.456","22.456","22.456","20.252","20.252","20.252","20.252","20.252","20.252","20.252","20.252","20.267","20.267","20.267","20.267","20.267","20.267","20.267","20.267","18.854","18.854","18.854","18.854","19.077","19.077","19.077","19.077","19.077","19.077"
"1964:Q1","101.9","101.9","101.9","101.9","101.9","101.9","101.9","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","101.5","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","77.0","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","76.6","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.0","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","24.8","21.7","21.7","21.7","21.7","21.7","21.66","21.66","21.66","21.662","21.662","21.662","21.662","21.662","21.662","21.662","21.67","21.67","21.67","21.67","21.67","21.67","21.67","21.67","21.67","21.67","21.67","21.67","21.67","21.67","21.67","21.67","21.67","22.655","22.655","22.655","22.655","22.655","22.655","22.655","22.655","22.655","22.655","22.655","22.655","22.655","22.655","22.655","22.655","22.655","22.655","22.655","22.655","22.655","22.655","20.433","20.433","20.433","20.433","20.433","20.433","20.433","20.433","20.448","20.448","20.448","20.448","20.448","20.448","20.448","20.448","19.023","19.023","19.023","19.023","19.248","19.248","19.248","19.248","19.248","19.248"
"1964:Q2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","101.7","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","77.3","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","76.9","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","21.8","21.8","21.8","21.8","21.8","21.77","21.77","21.77","21.773","21.773","21.773","21.773","21.773","21.773","21.773","21.78","21.78","21.78","21.78","21.78","21.78","21.78","21.78","21.78","21.78","21.78","21.78","21.78","21.78","21.78","21.78","21.78","22.771","22.771","22.771","22.771","22.771","22.771","22.771","22.771","22.771","22.771","22.771","22.771","22.771","22.771","22.771","22.771","22.771","22.771","22.771","22.771","22.771","22.771","20.536","20.536","20.536","20.536","20.536","20.536","20.536","20.536","20.551","20.551","20.551","20.551","20.551","20.551","20.551","20.551","19.119","19.119","19.119","19.119","19.345","19.345","19.345","19.345","19.345","19.345"
"1964:Q3","101.6","101.6","101.6","101.6","101.6","101.6","101.6","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","76.7","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","21.7","21.7","21.7","21.7","21.7","21.75","21.75","21.75","21.746","21.746","21.746","21.746","21.746","21.746","21.746","21.75","21.75","21.75","21.75","21.75","21.75","21.75","21.75","21.75","21.75","21.75","21.75","21.75","21.75","21.75","21.75","21.75","22.739","22.739","22.739","22.739","22.739","22.739","22.739","22.739","22.739","22.739","22.739","22.739","22.739","22.739","22.739","22.739","22.739","22.739","22.739","22.739","22.739","22.739","20.507","20.507","20.507","20.507","20.507","20.507","20.507","20.507","20.522","20.522","20.522","20.522","20.522","20.522","20.522","20.522","19.092","19.092","19.092","19.092","19.318","19.318","19.318","19.318","19.318","19.318"
"1964:Q4","101.7","101.7","101.7","101.8","101.8","101.8","101.8","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","101.4","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","76.8","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","24.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","21.8","21.8","21.8","21.8","21.8","21.81","21.81","21.81","21.812","21.812","21.812","21.812","21.812","21.812","21.812","21.82","21.82","21.82","21.82","21.82","21.82","21.82","21.82","21.82","21.82","21.82","21.82","21.82","21.82","21.82","21.82","21.82","22.808","22.808","22.808","22.808","22.808","22.808","22.808","22.808","22.808","22.808","22.808","22.808","22.808","22.808","22.808","22.808","22.808","22.808","22.808","22.808","22.808","22.808","20.57","20.57","20.57","20.57","20.57","20.57","20.57","20.57","20.585","20.585","20.585","20.585","20.585","20.585","20.585","20.585","19.15","19.15","19.15","19.15","19.376","19.376","19.376","19.376","19.376","19.376"
"1965:Q1","#N/A","102.9","102.9","103.5","103.5","103.5","103.5","102.0","102.0","102.0","102.0","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","77.6","77.6","77.6","77.6","77.6","77.6","77.6","77.6","77.6","77.6","77.6","77.6","77.6","77.6","77.6","77.6","77.6","77.6","77.6","77.6","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","77.2","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","24.4","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","22.0","22.0","22.0","22.0","22.0","21.99","21.99","21.99","21.988","21.988","21.988","21.988","21.988","21.988","21.988","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","21.99","22.993","22.993","22.993","22.993","22.993","22.993","22.993","22.993","22.993","22.993","22.993","22.993","22.993","22.993","22.993","22.993","22.993","22.993","22.993","22.993","22.993","22.993","20.736","20.736","20.736","20.736","20.736","20.736","20.736","20.736","20.751","20.751","20.751","20.751","20.751","20.751","20.751","20.751","19.304","19.304","19.304","19.304","19.533","19.533","19.533","19.533","19.533","19.533"
"1965:Q2","#N/A","101.6","101.5","102.2","102.2","102.2","102.2","101.3","101.3","101.3","101.3","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","102.2","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.5","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","77.1","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","24.5","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","21.9","21.9","21.9","21.9","21.9","21.89","21.89","21.89","21.89","21.89","21.89","21.89","21.89","21.89","21.89","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","21.9","22.895","22.895","22.895","22.895","22.895","22.895","22.895","22.895","22.895","22.895","22.895","22.895","22.895","22.895","22.895","22.895","22.895","22.895","22.895","22.895","22.895","22.895","20.648","20.648","20.648","20.648","20.648","20.648","20.648","20.648","20.663","20.663","20.663","20.663","20.663","20.663","20.663","20.663","19.223","19.223","19.223","19.223","19.45","19.45","19.45","19.45","19.45","19.45"
"1965:Q3","#N/A","101.9","102.0","103.4","103.4","103.4","103.4","102.7","102.7","102.7","102.7","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","78.1","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","24.6","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","25.3","22.0","22.0","22.0","22.0","22.0","22.05","22.05","22.05","22.046","22.046","22.046","22.046","22.046","22.046","22.046","22.05","22.05","22.05","22.05","22.05","22.05","22.05","22.05","22.05","22.05","22.05","22.05","22.05","22.05","22.05","22.05","22.05","23.054","23.054","23.054","23.054","23.054","23.054","23.054","23.054","23.054","23.054","23.054","23.054","23.054","23.054","23.054","23.054","23.054","23.054","23.054","23.054","23.054","23.054","20.792","20.792","20.792","20.792","20.792","20.792","20.792","20.792","20.807","20.807","20.807","20.807","20.807","20.807","20.807","20.807","19.357","19.357","19.357","19.357","19.586","19.586","19.586","19.586","19.586","19.586"
"1965:Q4","#N/A","102.1","103.1","104.2","104.2","104.2","104.2","103.3","103.3","103.3","103.3","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","104.7","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.1","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","22.3","22.3","22.3","22.3","22.3","22.28","22.28","22.28","22.279","22.279","22.279","22.279","22.279","22.279","22.279","22.28","22.28","22.28","22.28","22.28","22.28","22.28","22.28","22.28","22.28","22.28","22.28","22.28","22.28","22.28","22.28","22.28","23.296","23.296","23.296","23.296","23.296","23.296","23.296","23.296","23.296","23.296","23.296","23.296","23.296","23.296","23.296","23.296","23.296","23.296","23.296","23.296","23.296","23.296","21.011","21.011","21.011","21.011","21.011","21.011","21.011","21.011","21.026","21.026","21.026","21.026","21.026","21.026","21.026","21.026","19.561","19.561","19.561","19.561","19.793","19.793","19.793","19.793","19.793","19.793"
"1966:Q1","#N/A","#N/A","#N/A","104.1","104.1","104.1","104.1","103.2","103.2","103.2","103.2","104.5","104.5","104.5","104.5","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","104.4","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.8","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","78.5","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.2","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","25.6","22.4","22.4","22.4","22.4","22.4","22.39","22.39","22.39","22.388","22.388","22.388","22.388","22.388","22.388","22.388","22.39","22.39","22.39","22.39","22.39","22.39","22.39","22.39","22.39","22.39","22.39","22.39","22.39","22.39","22.39","22.39","22.39","23.414","23.414","23.414","23.414","23.414","23.414","23.414","23.414","23.414","23.414","23.414","23.414","23.414","23.414","23.414","23.414","23.414","23.414","23.414","23.414","23.414","23.414","21.111","21.111","21.111","21.111","21.111","21.111","21.111","21.111","21.126","21.126","21.126","21.126","21.126","21.126","21.126","21.126","19.655","19.655","19.655","19.655","19.887","19.887","19.887","19.887","19.887","19.887"
"1966:Q2","#N/A","#N/A","#N/A","#N/A","104.2","104.2","104.2","104.0","104.0","104.0","104.0","105.4","105.4","105.4","105.4","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","105.6","79.7","79.7","79.7","79.7","79.7","79.7","79.7","79.7","79.7","79.7","79.7","79.7","79.7","79.7","79.7","79.7","79.7","79.7","79.7","79.7","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","79.4","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.7","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","25.8","22.6","22.6","22.6","22.6","22.6","22.62","22.62","22.62","22.622","22.622","22.622","22.622","22.622","22.622","22.622","22.63","22.63","22.63","22.63","22.63","22.63","22.63","22.63","22.63","22.63","22.63","22.63","22.63","22.63","22.63","22.63","22.63","23.658","23.658","23.658","23.658","23.658","23.658","23.658","23.658","23.658","23.658","23.658","23.658","23.658","23.658","23.658","23.658","23.658","23.658","23.658","23.658","23.658","23.658","21.334","21.334","21.334","21.334","21.334","21.334","21.334","21.334","21.349","21.349","21.349","21.349","21.349","21.349","21.349","21.349","19.862","19.862","19.862","19.862","20.097","20.097","20.097","20.097","20.097","20.097"
